trade_id,code,day,kind,status,source,rows,path,error
T019,600835,2025-12-03,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T019_600835_2025-12-03_sell.csv,
T020,603712,2025-12-01,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T020_603712_2025-12-01_buy.csv,
T020,603712,2025-12-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T020_603712_2025-12-16_sell.csv,
T021,63,2025-12-03,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T021_000063_2025-12-03_buy.csv,
T021,63,2025-12-05,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T021_000063_2025-12-05_sell.csv,
T022,600707,2025-12-05,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T022_600707_2025-12-05_buy.csv,
T022,600707,2025-12-08,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T022_600707_2025-12-08_sell.csv,
T023,2402,2025-12-08,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T023_002402_2025-12-08_buy.csv,
T023,2402,2025-12-09,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T023_002402_2025-12-09_sell.csv,
T024,603698,2025-12-10,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T024_603698_2025-12-10_buy.csv,
T024,603698,2025-12-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T024_603698_2025-12-12_sell.csv,
T025,600184,2025-12-12,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T025_600184_2025-12-12_buy.csv,
T025,600184,2025-12-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T025_600184_2025-12-16_sell.csv,
T026,600875,2025-12-16,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T026_600875_2025-12-16_buy.csv,
T026,600875,2025-12-23,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T026_600875_2025-12-23_sell.csv,
T027,825,2025-12-17,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T027_000825_2025-12-17_buy.csv,
T027,825,2025-12-22,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T027_000825_2025-12-22_sell.csv,
T028,600198,2025-12-18,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T028_600198_2025-12-18_buy.csv,
T028,600198,2025-12-19,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T028_600198_2025-12-19_sell.csv,
T029,600501,2025-12-19,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T029_600501_2025-12-19_buy.csv,
T029,600501,2025-12-23,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T029_600501_2025-12-23_sell.csv,
T030,2151,2025-12-24,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T030_002151_2025-12-24_buy.csv,
T030,2151,2025-12-25,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T030_002151_2025-12-25_sell.csv,
