date,open,close,high,low,amount
2025-12-26,43.79,43.14,44.47,42.6,100724.0
2025-12-29,43.25,44.0,44.45,42.88,112555.0
2025-12-30,43.55,48.4,48.4,43.44,227399.0
2025-12-31,49.0,48.16,49.0,47.29,210500.0
2026-01-05,47.58,49.0,49.38,46.5,173563.0
2026-01-06,49.0,48.19,49.66,48.07,146545.0
2026-01-07,47.8,47.33,48.46,46.65,147039.0
2026-01-08,47.1,46.96,48.36,46.75,110938.0
2026-01-09,46.96,48.15,48.66,46.9,149814.0
2026-01-12,48.16,48.32,48.6,47.1,136677.0
2026-01-13,48.0,49.27,51.15,47.51,223320.0
