date,open,close,high,low,amount
2025-12-02,18.46,18.17,18.46,18.12,112194.0
2025-12-03,18.23,17.8,18.24,17.66,110130.0
2025-12-04,17.66,17.66,18.04,17.63,80434.0
2025-12-05,17.61,18.02,18.05,17.3,106282.0
2025-12-08,18.09,18.43,18.57,18.0,185424.0
2025-12-09,18.17,19.22,19.58,18.17,380696.0
2025-12-10,19.4,21.14,21.14,18.82,497224.0
2025-12-11,22.72,21.49,23.25,21.44,794268.0
2025-12-12,20.69,20.37,21.87,19.96,581940.0
2025-12-15,20.29,20.12,20.75,19.66,358779.0
2025-12-16,20.22,19.0,20.29,18.6,333758.0
