date,open,close,high,low,amount
2025-11-18,26.08,26.49,26.76,25.97,127564.0
2025-11-19,26.35,26.88,27.18,26.35,133086.0
2025-11-20,26.9,26.97,27.68,26.74,104819.0
2025-11-21,26.71,28.29,29.57,26.7,427262.0
2025-11-24,29.0,30.53,30.99,28.69,490018.0
2025-11-25,29.59,30.0,31.5,28.89,382688.0
2025-11-26,29.63,33.0,33.0,29.63,537547.0
2025-11-27,33.0,30.59,33.8,30.5,634010.0
2025-11-28,30.3,30.88,31.75,29.68,358928.0
2025-12-01,30.41,30.04,30.58,29.71,275910.0
2025-12-02,30.0,29.65,30.04,29.18,214485.0
2025-12-03,29.47,28.8,29.49,28.55,171532.0
