date,open,close,high,low,amount
2025-10-27,9.52,9.51,9.61,9.47,44029.0
2025-10-28,9.45,9.34,9.57,9.32,45565.0
2025-10-29,9.3,9.32,9.34,9.03,67869.0
2025-10-30,9.33,9.21,9.34,9.18,45472.0
2025-10-31,9.19,9.26,9.29,9.09,48064.0
2025-11-03,9.22,10.19,10.19,9.16,198239.0
2025-11-04,10.2,9.94,10.63,9.9,372087.0
2025-11-05,9.78,9.9,10.01,9.78,168746.0
2025-11-06,9.91,9.89,10.08,9.85,139847.0
2025-11-07,9.86,9.94,10.01,9.71,121459.0
2025-11-10,10.02,10.01,10.15,9.93,143656.0
2025-11-11,10.0,10.05,10.1,9.93,84253.0
2025-11-12,10.01,10.25,10.3,9.84,126567.0
