date,open,close,high,low,amount
2026-03-13,8.11,8.13,8.23,8.07,157186.0
2026-03-16,8.1,8.65,8.94,8.05,661358.0
2026-03-17,8.37,8.27,8.58,8.26,377525.0
2026-03-18,8.27,8.64,8.92,8.13,440536.0
2026-03-19,8.53,9.5,9.5,8.53,739535.0
2026-03-20,9.39,9.31,9.7,9.3,867975.0
2026-03-23,9.1,9.24,9.66,8.88,661756.0
2026-03-24,9.37,9.37,9.49,9.11,513498.0
2026-03-25,9.35,9.57,9.62,9.3,574369.0
2026-03-26,9.43,9.11,9.43,9.06,417551.0
2026-03-27,10.02,10.02,10.02,10.02,161639.0
2026-03-30,10.2,11.02,11.02,10.02,1009149.0
2026-03-31,10.5,10.34,11.1,10.31,1092105.0
2026-04-01,10.38,10.27,10.89,10.04,926478.0
