date,open,close,high,low,amount
2026-02-24,44.37,43.8,45.8,43.8,62437.0
2026-02-25,44.0,48.17,48.18,43.28,196663.0
2026-02-26,48.07,48.43,50.19,47.5,124008.0
2026-02-27,48.15,47.13,49.66,46.82,104010.0
2026-03-02,47.1,49.95,50.05,47.01,108122.0
2026-03-03,50.8,49.4,51.91,49.02,155862.0
2026-03-04,49.3,54.34,54.34,48.8,240739.0
2026-03-05,56.5,55.64,58.29,54.6,239323.0
2026-03-06,54.55,51.33,55.33,50.9,208028.0
2026-03-09,51.3,52.58,53.8,50.36,192925.0
2026-03-10,50.6,53.13,53.29,49.13,149305.0
2026-03-11,53.55,55.63,56.6,52.0,153683.0
2026-03-12,55.29,56.89,59.59,54.91,141096.0
