date,open,close,high,low,amount
2026-03-17,50.18,49.83,51.76,49.76,1850095.0
2026-03-18,49.66,49.34,49.89,48.9,861205.0
2026-03-19,48.38,48.04,48.8,47.85,918059.0
2026-03-20,48.39,48.22,49.7,48.22,1004845.0
2026-03-23,47.53,46.3,47.75,45.95,1017446.0
2026-03-24,46.8,46.34,46.94,44.57,1105607.0
2026-03-25,47.38,50.97,50.97,47.0,2608861.0
2026-03-26,51.71,50.19,51.71,49.96,2200194.0
2026-03-27,48.18,50.61,51.29,48.18,1749811.0
2026-03-30,49.8,48.76,50.0,48.1,1596406.0
2026-03-31,48.4,49.26,50.62,48.0,1671505.0
2026-04-01,50.48,50.4,51.11,49.8,1109777.0
