date,open,close,high,low,amount
2025-12-08,21.86,21.43,21.89,21.36,347187.0
2025-12-09,21.38,21.31,21.43,21.15,232849.0
2025-12-10,21.32,21.21,21.48,20.86,262776.0
2025-12-11,21.78,21.86,22.7,21.78,786111.0
2025-12-12,22.3,24.05,24.05,22.3,1381187.0
2025-12-15,24.4,23.81,24.45,23.75,1231167.0
2025-12-16,23.61,22.74,23.75,22.57,680012.0
2025-12-17,22.63,23.17,23.28,22.31,619795.0
2025-12-18,22.79,22.53,22.85,22.48,496691.0
2025-12-19,22.88,22.9,23.38,22.82,537751.0
2025-12-22,23.63,23.3,23.87,23.06,597507.0
2025-12-23,23.3,24.7,24.99,23.1,1188537.0
