date,open,close,high,low,amount
2025-12-09,22.92,23.66,24.08,22.71,350287.0
2025-12-10,23.21,23.47,24.15,23.1,287124.0
2025-12-11,23.8,24.57,25.82,23.3,490585.0
2025-12-12,24.48,25.48,25.52,24.2,565920.0
2025-12-15,25.5,25.47,25.86,24.5,470961.0
2025-12-16,25.0,24.58,25.42,23.5,381989.0
2025-12-17,24.4,27.04,27.04,24.05,651292.0
2025-12-18,27.8,26.1,28.38,26.1,795113.0
2025-12-19,26.0,26.16,27.0,25.96,496023.0
2025-12-22,26.18,25.62,26.55,25.55,383211.0
2025-12-23,25.59,23.39,25.59,23.08,534174.0
