date,open,close,high,low,amount
2025-10-27,50.71,51.7,52.05,50.58,71061.0
2025-10-28,51.5,51.72,54.28,51.5,57317.0
2025-10-29,51.92,50.79,51.92,50.5,54216.0
2025-10-30,50.8,51.5,51.71,50.36,46562.0
2025-10-31,51.1,56.65,56.65,50.8,103765.0
2025-11-03,56.68,55.74,56.77,54.65,74396.0
2025-11-04,54.65,53.89,55.0,53.31,44812.0
2025-11-05,53.31,53.67,55.25,52.79,47906.0
2025-11-06,53.4,53.85,54.1,52.5,32073.0
2025-11-07,53.52,53.01,54.25,52.55,29241.0
2025-11-10,52.93,53.46,54.17,52.56,35163.0
2025-11-11,53.36,53.21,54.3,52.89,31625.0
2025-11-12,53.42,54.3,55.2,53.33,37927.0
2025-11-13,54.3,55.45,56.92,54.3,50771.0
2025-11-14,55.46,55.86,57.2,54.24,41063.0
2025-11-17,55.3,54.48,56.23,53.98,25700.0
2025-11-18,54.3,54.69,55.69,53.7,21604.0
2025-11-19,54.57,56.45,57.38,54.3,37831.0
