date,open,close,high,low,amount
2025-10-21,23.1,23.08,23.56,22.67,679172.0
2025-10-22,22.93,22.47,23.07,22.38,510366.0
2025-10-23,22.31,22.87,22.95,21.61,761180.0
2025-10-24,22.8,22.21,23.04,22.0,1112896.0
2025-10-27,22.6,22.93,23.42,22.51,1125977.0
2025-10-28,23.11,22.61,23.37,22.52,666175.0
2025-10-29,22.4,24.87,24.87,22.4,1832104.0
2025-10-30,24.96,24.78,25.68,24.61,1671282.0
2025-10-31,24.58,24.78,26.02,24.57,1054483.0
2025-11-03,25.0,25.21,25.46,24.51,1186039.0
2025-11-04,25.19,24.3,25.27,24.06,871891.0
2025-11-05,23.82,24.4,25.1,23.6,1096226.0
2025-11-06,24.4,24.96,25.5,24.08,1270079.0
2025-11-07,24.8,26.65,27.46,24.75,3061780.0
