date,open,close,high,low,amount
2025-11-21,19.59,19.58,20.23,19.24,109203.0
2025-11-24,19.6,20.25,20.25,19.51,112044.0
2025-11-25,20.19,20.22,20.36,19.95,77847.0
2025-11-26,20.17,19.89,20.23,19.75,94688.0
2025-11-27,19.76,19.85,20.19,19.62,60302.0
2025-11-28,19.85,21.84,21.84,19.84,363108.0
2025-12-01,22.0,21.35,22.0,21.01,355007.0
2025-12-02,21.21,21.55,21.68,21.05,248425.0
2025-12-03,21.37,21.62,21.85,21.23,282184.0
2025-12-04,21.41,21.1,21.81,21.09,213888.0
2025-12-05,21.05,21.79,21.93,20.93,283429.0
2025-12-08,22.0,21.63,22.05,21.53,257104.0
2025-12-09,21.36,21.45,21.68,21.3,152574.0
2025-12-10,21.45,21.36,21.59,20.95,166614.0
2025-12-11,21.33,21.08,21.5,21.0,123046.0
2025-12-12,21.01,20.5,21.22,20.23,241391.0
2025-12-15,20.35,20.54,20.9,20.22,140974.0
2025-12-16,20.55,20.06,20.58,19.6,200434.0
