date,open,close,high,low,amount
2026-01-27,13.18,12.87,13.18,12.76,339068.0
2026-01-28,12.83,13.99,14.1,12.82,990881.0
2026-01-29,13.89,13.93,14.22,13.72,746222.0
2026-01-30,13.95,13.63,14.48,13.46,652764.0
2026-02-02,13.39,12.57,13.48,12.56,544639.0
2026-02-03,12.66,12.7,12.88,12.42,308641.0
2026-02-04,12.87,13.97,13.97,12.83,948681.0
2026-02-05,13.75,13.39,13.94,13.25,658760.0
2026-02-06,13.2,13.37,13.51,13.1,349255.0
2026-02-09,13.3,13.26,13.47,13.18,343638.0
2026-02-10,13.26,13.67,13.9,13.02,563557.0
