date,open,close,high,low,amount
2025-11-17,3.85,3.95,4.03,3.83,1068903.0
2025-11-18,3.92,3.77,3.95,3.73,849356.0
2025-11-19,3.78,3.67,3.79,3.66,587684.0
2025-11-20,3.68,3.68,3.75,3.63,541104.0
2025-11-21,3.65,3.59,3.71,3.58,555849.0
2025-11-24,3.61,3.61,3.66,3.56,467328.0
2025-11-25,3.65,3.97,3.97,3.63,1169311.0
2025-11-26,4.03,3.85,4.07,3.84,1772438.0
2025-11-27,3.83,3.78,3.87,3.76,775458.0
2025-11-28,3.78,3.88,3.97,3.7,1258992.0
2025-12-01,3.83,3.86,3.88,3.77,777077.0
2025-12-02,3.85,4.25,4.25,3.83,1645320.0
