date,open,close,high,low,amount
2025-10-13,26.79,26.44,27.3,26.1,64936.0
2025-10-14,26.46,25.65,26.56,25.31,78849.0
2025-10-15,25.66,26.24,26.76,25.43,147481.0
2025-10-16,26.13,26.1,26.99,25.99,53556.0
2025-10-17,26.16,25.62,26.39,25.6,35490.0
2025-10-20,25.74,25.54,25.89,25.33,31739.0
2025-10-21,25.49,28.09,28.09,25.49,138397.0
2025-10-22,28.0,26.69,28.05,26.66,123815.0
2025-10-23,26.59,26.35,26.86,25.77,91450.0
2025-10-24,26.35,26.46,26.6,26.01,63787.0
2025-10-27,26.48,26.41,26.73,26.21,59726.0
2025-10-28,26.5,27.42,27.49,26.44,95235.0
2025-10-29,27.41,27.33,27.5,26.91,43537.0
2025-10-30,27.6,27.4,27.82,27.29,65811.0
2025-10-31,27.39,27.29,27.67,27.18,61634.0
2025-11-03,27.3,26.84,27.6,26.51,49115.0
2025-11-04,26.85,26.19,27.05,26.08,66582.0
2025-11-05,26.14,26.56,27.25,25.73,89747.0
2025-11-06,26.6,27.39,27.49,26.43,79240.0
2025-11-07,27.57,28.04,28.43,27.16,123908.0
