date,open,close,high,low,amount
2025-12-15,13.16,13.6,13.72,13.16,492317.0
2025-12-16,13.8,13.71,14.1,13.48,748347.0
2025-12-17,13.74,14.27,14.64,13.52,1084346.0
2025-12-18,14.0,13.97,14.57,13.9,786262.0
2025-12-19,14.01,14.03,14.32,13.78,525808.0
2025-12-22,14.3,14.78,15.04,14.25,879901.0
2025-12-23,14.78,16.26,16.26,14.74,890992.0
2025-12-24,16.17,15.0,16.17,14.95,1318057.0
2025-12-25,14.88,14.39,14.9,14.28,788550.0
2025-12-26,14.59,15.25,15.7,14.36,1186183.0
2025-12-29,15.56,14.64,15.59,14.58,903878.0
2025-12-30,14.19,14.44,14.71,14.07,505564.0
2025-12-31,14.35,14.18,14.62,14.12,448212.0
2026-01-05,14.32,14.44,14.58,14.16,416317.0
2026-01-06,14.65,15.0,15.28,14.55,739432.0
2026-01-07,15.03,15.97,16.06,15.03,1080717.0
