date,open,close,high,low,amount
2026-01-13,12.23,11.68,12.23,11.63,1443349.0
2026-01-14,11.66,11.69,11.93,11.54,1071034.0
2026-01-15,11.6,11.92,11.93,11.56,1087832.0
2026-01-16,12.05,12.7,12.84,11.92,3286180.0
2026-01-19,12.7,12.7,12.93,12.49,2472797.0
2026-01-20,12.6,12.89,13.08,12.58,2270862.0
2026-01-21,12.8,14.18,14.18,12.7,3523465.0
2026-01-22,14.95,13.85,14.95,13.7,5825591.0
2026-01-23,13.8,14.28,14.57,13.63,4640628.0
2026-01-26,14.2,13.33,14.49,13.24,3349903.0
2026-01-27,13.27,14.66,14.66,13.06,4532292.0
