date,open,close,high,low,amount
2025-11-03,9.05,8.98,9.07,8.86,413942.0
2025-11-04,8.95,9.03,9.06,8.86,379971.0
2025-11-05,8.94,8.99,9.18,8.92,346170.0
2025-11-06,9.03,9.6,9.89,9.03,1512314.0
2025-11-07,9.41,9.27,9.49,9.26,821025.0
2025-11-10,9.28,10.2,10.2,9.28,2014368.0
2025-11-11,10.72,10.32,11.09,10.15,2594506.0
2025-11-12,10.08,9.98,10.13,9.66,1711973.0
2025-11-13,9.78,10.03,10.05,9.72,1288894.0
2025-11-14,10.0,10.1,10.49,9.93,1654787.0
2025-11-17,10.0,9.79,10.06,9.73,947151.0
2025-11-18,9.8,10.26,10.55,9.68,1796415.0
2025-11-19,10.26,10.43,10.6,10.16,1464450.0
