date,open,close,high,low,amount
2025-10-17,6.83,6.71,6.85,6.69,285571.0
2025-10-20,6.74,6.78,6.79,6.68,328388.0
2025-10-21,6.81,6.89,6.9,6.78,311272.0
2025-10-22,6.89,6.83,6.9,6.8,233005.0
2025-10-23,7.04,7.51,7.51,6.96,1768415.0
2025-10-24,7.68,7.25,7.74,7.19,2130113.0
2025-10-27,7.2,7.25,7.45,7.13,1329430.0
2025-10-28,7.21,7.07,7.22,7.04,844354.0
2025-10-29,7.1,7.21,7.26,7.03,826015.0
2025-10-30,7.18,7.31,7.38,7.15,904538.0
2025-10-31,7.18,7.03,7.18,7.01,842578.0
2025-11-03,7.05,7.12,7.13,7.03,402676.0
2025-11-04,7.1,7.08,7.16,7.03,322596.0
2025-11-05,7.04,7.09,7.13,6.97,380172.0
2025-11-06,7.08,7.16,7.24,7.07,474496.0
2025-11-07,7.15,7.11,7.23,7.07,430965.0
2025-11-10,7.13,7.15,7.18,7.1,396041.0
2025-11-11,7.15,7.09,7.17,7.07,335445.0
2025-11-12,7.07,7.02,7.09,6.98,342634.0
2025-11-13,7.01,7.02,7.03,6.94,329615.0
2025-11-14,6.98,6.99,7.04,6.98,255447.0
2025-11-17,6.97,6.9,6.98,6.85,298081.0
2025-11-18,6.9,6.82,6.9,6.77,273483.0
