buy_date,code,actual_code,actual_name,days_since_limit,is_pullback,y_ret,y_body_ret,open_gap,score,rank
2026-03-26,002222,002222,福晶科技,2,1,0.03951227041210048,-0.03703174149270805,-0.008017817371937519,1.9143164261030519,1
2026-03-26,002498,002222,福晶科技,2,1,0.02499999999999991,-0.020629750271444203,-0.003325942350332567,2.2674057649667425,2
2026-03-26,000415,002222,福晶科技,2,1,0.023310023310023187,-0.002272727272727426,-0.002277904328018221,2.3586897536783633,3
2026-03-26,002218,002222,福晶科技,2,1,0.006896551724137945,-0.05562742561448908,0.0,2.4551724137931035,4
2026-03-26,000065,002222,福晶科技,2,1,-0.007032348804500765,-0.026206896551724146,0.0,2.456258790436006,5
2026-03-26,600026,002222,福晶科技,2,1,-0.020873598763046064,-0.051310861423221055,0.0,2.5669887901043684,6
2026-03-26,002350,002222,福晶科技,2,1,0.00997340425531923,-0.038607594936708955,0.0006583278472678256,2.5719531326600493,7
2026-03-26,002565,002222,福晶科技,3,1,-0.040804257835600266,-0.0430678466076696,-0.002466091245376001,3.079824938147202,8
2026-03-26,002256,002222,福晶科技,4,1,-0.022587268993839893,0.017094017094017033,-0.027310924369747913,4.11179058892551,9
2026-03-26,000968,002222,福晶科技,5,1,-0.05152671755725202,0.02263374485596703,0.00201207243460777,4.893903881303104,10
2026-03-26,000862,002222,福晶科技,4,1,-0.018867924528301883,0.006833712984054774,-0.037330316742081426,5.230581405276186,11
2026-03-26,000020,002222,福晶科技,4,1,-0.0670184696569921,-0.0056242969628796935,-0.0345022624434389,5.276419250468605,12
