date,open,close,high,low,amount
2026-03-16,12.68,12.72,12.85,12.45,41799.0
2026-03-17,12.65,12.47,12.79,12.45,36824.0
2026-03-18,12.42,12.4,12.48,12.31,27601.0
2026-03-19,12.34,13.12,13.28,12.33,154411.0
2026-03-20,13.0,14.43,14.43,13.0,527028.0
2026-03-23,14.0,13.58,14.7,13.55,434270.0
2026-03-24,13.83,14.22,14.38,13.83,295318.0
2026-03-25,14.36,14.49,14.65,14.3,272581.0
