date,open,close,high,low,amount
2026-03-16,9.23,10.32,10.32,9.23,857302.0
2026-03-17,10.41,9.9,10.7,9.9,800353.0
2026-03-18,9.89,10.0,10.12,9.66,516177.0
2026-03-19,9.7,10.33,11.0,9.57,861051.0
2026-03-20,10.56,10.0,11.36,10.0,789741.0
2026-03-23,9.56,9.61,10.2,9.46,549876.0
2026-03-24,9.8,10.57,10.57,9.42,511913.0
2026-03-25,11.0,10.52,11.23,10.45,873198.0
