date,open,close,high,low,amount
2026-03-04,26.37,26.89,27.68,26.37,143149.0
2026-03-05,27.5,26.83,27.69,26.11,177215.0
2026-03-06,27.2,27.08,27.75,26.48,172211.0
2026-03-09,26.53,28.01,28.49,26.22,256878.0
2026-03-10,27.62,26.98,27.75,26.8,196912.0
2026-03-11,26.85,29.68,29.68,26.76,155032.0
2026-03-12,31.16,32.65,32.65,30.7,231360.0
2026-03-13,33.0,33.53,34.98,32.71,592732.0
