date,time,open,high,low,close,volume,amount
2025-12-18,20251218093500000,8.9300,9.0500,8.9300,9.0400,17647600,158188592.0000
2025-12-18,20251218094000000,9.0400,9.1100,9.0200,9.0200,3742400,33902640.0000
2025-12-18,20251218094500000,9.0300,9.1500,9.0100,9.1200,4463900,40640240.0000
2025-12-18,20251218095000000,9.1200,9.2000,9.1000,9.1400,3124600,28567120.0000
2025-12-18,20251218095500000,9.1400,9.1400,9.1000,9.1200,1504600,13715744.0000
2025-12-18,20251218100000000,9.1100,9.1800,9.0900,9.1800,2178800,19880672.0000
2025-12-18,20251218100500000,9.1700,9.1700,9.1200,9.1200,1818500,16621280.0000
2025-12-18,20251218101000000,9.1200,9.1300,9.0800,9.0900,1944600,17703456.0000
2025-12-18,20251218101500000,9.0900,9.1400,9.0800,9.1000,1725800,15726368.0000
2025-12-18,20251218102000000,9.1000,9.1400,9.0800,9.1200,1137900,10366880.0000
2025-12-18,20251218102500000,9.1300,9.1500,9.1300,9.1300,969000,8854688.0000
2025-12-18,20251218103000000,9.1400,9.1500,9.1300,9.1500,637500,5828736.0000
2025-12-18,20251218103500000,9.1400,9.1700,9.1400,9.1400,1029900,9426464.0000
2025-12-18,20251218104000000,9.1400,9.1600,9.1100,9.1600,944400,8624608.0000
2025-12-18,20251218104500000,9.1600,9.1600,9.1300,9.1400,631100,5772480.0000
2025-12-18,20251218105000000,9.1400,9.1400,9.0900,9.1100,1099200,10015776.0000
2025-12-18,20251218105500000,9.1100,9.1600,9.1000,9.1600,803100,7336288.0000
2025-12-18,20251218110000000,9.1500,9.2700,9.1500,9.2500,2929700,26971104.0000
2025-12-18,20251218110500000,9.2300,9.2700,9.2000,9.2100,3618800,33425376.0000
2025-12-18,20251218111000000,9.2100,9.2600,9.1900,9.2300,1690100,15598464.0000
2025-12-18,20251218111500000,9.2300,9.2300,9.1900,9.1900,913700,8412576.0000
2025-12-18,20251218112000000,9.1900,9.2200,9.1800,9.1900,732100,6734752.0000
2025-12-18,20251218112500000,9.1700,9.2100,9.1700,9.2000,526200,4834848.0000
2025-12-18,20251218113000000,9.1900,9.2300,9.1800,9.2200,693000,6381440.0000
2025-12-18,20251218130500000,9.2200,9.2600,9.1900,9.2500,1632200,15077472.0000
2025-12-18,20251218131000000,9.2500,9.2700,9.2100,9.2100,995500,9202688.0000
2025-12-18,20251218131500000,9.2100,9.2200,9.1900,9.2000,847600,7799232.0000
2025-12-18,20251218132000000,9.1900,9.2200,9.1800,9.2100,582500,5360319.0000
2025-12-18,20251218132500000,9.2100,9.2400,9.1800,9.2200,1094900,10080769.0000
2025-12-18,20251218133000000,9.2200,9.2200,9.2100,9.2200,364300,3357698.0000
2025-12-18,20251218133500000,9.2100,9.2200,9.1800,9.1800,848000,7798981.0000
2025-12-18,20251218134000000,9.1800,9.1900,9.1500,9.1500,1037700,9508218.0000
2025-12-18,20251218134500000,9.1600,9.1700,9.1400,9.1500,638300,5841796.0000
2025-12-18,20251218135000000,9.1400,9.1500,9.1300,9.1400,746000,6819328.0000
2025-12-18,20251218135500000,9.1400,9.1400,9.1200,9.1200,1075800,9820221.0000
2025-12-18,20251218140000000,9.1300,9.1300,9.0800,9.0900,1504600,13702079.0000
2025-12-18,20251218140500000,9.0900,9.1200,9.0800,9.1200,1025700,9344836.0000
2025-12-18,20251218141000000,9.1200,9.1200,9.1100,9.1200,483000,4403451.0000
2025-12-18,20251218141500000,9.1100,9.1500,9.1100,9.1300,897300,8189447.0000
2025-12-18,20251218142000000,9.1300,9.1500,9.1000,9.1400,925500,8449339.0000
2025-12-18,20251218142500000,9.1400,9.1500,9.1200,9.1300,572500,5228798.0000
2025-12-18,20251218143000000,9.1200,9.1300,9.1100,9.1200,464100,4233216.0000
2025-12-18,20251218143500000,9.1200,9.1400,9.1100,9.1300,694500,6340288.0000
2025-12-18,20251218144000000,9.1200,9.1300,9.1100,9.1200,811800,7401088.0000
2025-12-18,20251218144500000,9.1100,9.1300,9.1100,9.1200,845800,7719163.0000
2025-12-18,20251218145000000,9.1300,9.1400,9.1000,9.1200,1997700,18226248.0000
2025-12-18,20251218145500000,9.1200,9.1300,9.1100,9.1200,1627200,14845115.0000
2025-12-18,20251218150000000,9.1200,9.1400,9.1200,9.1200,2112400,19274306.0000
