date,time,open,high,low,close,volume,amount
2026-02-13,20260213093500000,9.8700,9.9300,9.7500,9.8500,13498505,132945938.2700
2026-02-13,20260213094000000,9.8600,9.9200,9.8000,9.8200,8334000,82284389.0000
2026-02-13,20260213094500000,9.8100,9.8700,9.7700,9.8500,3027688,29722610.6400
2026-02-13,20260213095000000,9.8500,9.9000,9.8300,9.9000,2856400,28191882.0000
2026-02-13,20260213095500000,9.9000,9.9100,9.8100,9.8200,2927200,28837622.0000
2026-02-13,20260213100000000,9.8100,9.8100,9.7600,9.8000,2208900,21622696.0000
2026-02-13,20260213100500000,9.8000,9.8000,9.7700,9.7800,1978100,19353409.0000
2026-02-13,20260213101000000,9.7900,9.7900,9.7400,9.7700,2565200,25026200.3100
2026-02-13,20260213101500000,9.7700,9.7700,9.7100,9.7100,2523100,24569564.0000
2026-02-13,20260213102000000,9.7100,9.7600,9.7000,9.7300,1597600,15532511.0000
2026-02-13,20260213102500000,9.7300,9.7400,9.7100,9.7300,1169000,11366594.0000
2026-02-13,20260213103000000,9.7400,9.7400,9.7000,9.7100,1055800,10265147.0000
2026-02-13,20260213103500000,9.7100,9.7300,9.6900,9.7100,1295500,12573730.0000
2026-02-13,20260213104000000,9.7100,9.8000,9.7100,9.7800,1131700,11030112.0000
2026-02-13,20260213104500000,9.7800,9.8000,9.7600,9.7800,1390000,13600717.0000
2026-02-13,20260213105000000,9.7800,9.7900,9.7000,9.7100,1145200,11160649.0000
2026-02-13,20260213105500000,9.7000,9.7200,9.6900,9.7200,973900,9447147.0000
2026-02-13,20260213110000000,9.7200,9.7300,9.7000,9.7100,554700,5387020.0000
2026-02-13,20260213110500000,9.7100,9.7200,9.6900,9.6900,992200,9624417.0000
2026-02-13,20260213111000000,9.6900,9.6900,9.6700,9.6800,1645000,15913669.0000
2026-02-13,20260213111500000,9.6800,9.6900,9.6700,9.6700,585000,5663481.0000
2026-02-13,20260213112000000,9.6700,9.6800,9.6400,9.6500,1692700,16342737.0000
2026-02-13,20260213112500000,9.6500,9.6800,9.6500,9.6700,672900,6505473.0000
2026-02-13,20260213113000000,9.6700,9.7100,9.6700,9.7000,859300,8323557.0000
2026-02-13,20260213130500000,9.7000,9.7600,9.6900,9.7400,1331997,12960148.7800
2026-02-13,20260213131000000,9.7400,9.7600,9.7100,9.7500,1104900,10761106.0000
2026-02-13,20260213131500000,9.7400,9.7600,9.7200,9.7300,1621800,15799208.0000
2026-02-13,20260213132000000,9.7400,9.7700,9.7300,9.7500,831700,8111305.0000
2026-02-13,20260213132500000,9.7500,9.7600,9.7200,9.7600,693200,6751722.0000
2026-02-13,20260213133000000,9.7500,9.7900,9.7400,9.7700,2314100,22598371.0000
2026-02-13,20260213133500000,9.7800,9.8000,9.7500,9.7700,2534500,24783281.0000
2026-02-13,20260213134000000,9.7700,9.7700,9.6900,9.7200,1493600,14528674.0000
2026-02-13,20260213134500000,9.7200,9.7400,9.7100,9.7200,532112,5175317.5200
2026-02-13,20260213135000000,9.7200,9.7300,9.6700,9.6900,1189090,11529263.8400
2026-02-13,20260213135500000,9.6900,9.7100,9.6800,9.6900,854500,8282649.0000
2026-02-13,20260213140000000,9.6900,9.7000,9.6900,9.6900,532000,5157493.8800
2026-02-13,20260213140500000,9.6900,9.6900,9.6700,9.6800,916922,8875182.7200
2026-02-13,20260213141000000,9.6800,9.6900,9.6700,9.6700,584700,5661455.0000
2026-02-13,20260213141500000,9.6700,9.6700,9.6500,9.6500,1176576,11364076.9200
2026-02-13,20260213142000000,9.6500,9.6800,9.6500,9.6800,1041600,10072298.0000
2026-02-13,20260213142500000,9.6800,9.6900,9.6700,9.6800,735300,7119400.0000
2026-02-13,20260213143000000,9.6800,9.7100,9.6800,9.6900,1069400,10362916.0000
2026-02-13,20260213143500000,9.6900,9.7100,9.6800,9.7000,1046800,10144639.0000
2026-02-13,20260213144000000,9.7000,9.7000,9.6300,9.6400,2053441,19835929.8300
2026-02-13,20260213144500000,9.6400,9.6500,9.6300,9.6300,1585076,15284540.6400
2026-02-13,20260213145000000,9.6300,9.6400,9.6100,9.6200,3065600,29487216.0000
2026-02-13,20260213145500000,9.6200,9.6400,9.6200,9.6200,3235873,31141333.2600
2026-02-13,20260213150000000,9.6200,9.6300,9.6000,9.6100,3173198,30498676.7400
