date,time,open,high,low,close,volume,amount
2026-02-13,20260213093500000,7.1600,7.1800,6.9800,6.9900,13885819,97935590.0000
2026-02-13,20260213094000000,7.0100,7.0400,6.9900,7.0400,4277600,29973107.0000
2026-02-13,20260213094500000,7.0400,7.0500,7.0000,7.0100,3299100,23166066.0000
2026-02-13,20260213095000000,7.0200,7.0300,6.9900,7.0100,3011500,21092158.0000
2026-02-13,20260213095500000,7.0100,7.0300,6.9900,7.0000,2584700,18110109.0000
2026-02-13,20260213100000000,6.9900,7.0000,6.9800,7.0000,2349540,16427371.0000
2026-02-13,20260213100500000,6.9900,7.0100,6.9800,6.9900,2590300,18103038.0000
2026-02-13,20260213101000000,6.9900,7.0000,6.9700,6.9800,1955500,13646827.0000
2026-02-13,20260213101500000,6.9700,7.0000,6.9700,6.9900,1347400,9413824.0000
2026-02-13,20260213102000000,6.9800,7.0000,6.9700,6.9800,2018100,14087505.0000
2026-02-13,20260213102500000,6.9800,6.9800,6.9600,6.9700,1919000,13372679.0000
2026-02-13,20260213103000000,6.9800,6.9800,6.9500,6.9500,3184600,22171068.0000
2026-02-13,20260213103500000,6.9500,6.9900,6.9400,6.9700,3247300,22626952.0000
2026-02-13,20260213104000000,6.9800,6.9900,6.9700,6.9800,684000,4772290.0000
2026-02-13,20260213104500000,6.9700,6.9700,6.9300,6.9300,3263700,22662464.0000
2026-02-13,20260213105000000,6.9400,6.9500,6.9300,6.9500,911600,6329067.0000
2026-02-13,20260213105500000,6.9400,6.9700,6.9300,6.9600,2185400,15190089.0000
2026-02-13,20260213110000000,6.9600,6.9600,6.9400,6.9400,762000,5296420.0000
2026-02-13,20260213110500000,6.9500,6.9500,6.9200,6.9300,2081100,14416734.0000
2026-02-13,20260213111000000,6.9200,6.9400,6.9100,6.9200,1594300,11040222.0000
2026-02-13,20260213111500000,6.9200,6.9300,6.9000,6.9100,3247800,22447452.0000
2026-02-13,20260213112000000,6.9100,6.9200,6.8900,6.8900,2397900,16560377.0000
2026-02-13,20260213112500000,6.8900,6.9000,6.8900,6.9000,3451100,23770153.0000
2026-02-13,20260213113000000,6.9000,6.9100,6.8900,6.9000,639900,4416741.0000
2026-02-13,20260213130500000,6.9000,6.9100,6.8900,6.9100,1057800,7301601.0000
2026-02-13,20260213131000000,6.9100,6.9200,6.8900,6.9100,1313700,9069574.0000
2026-02-13,20260213131500000,6.9000,6.9100,6.8800,6.8800,1071200,7386143.0000
2026-02-13,20260213132000000,6.8800,6.8900,6.8800,6.8900,1044900,7194160.0000
2026-02-13,20260213132500000,6.8900,6.8900,6.8600,6.8800,4827700,33200053.0000
2026-02-13,20260213133000000,6.8800,6.9000,6.8800,6.8900,793500,5468370.0000
2026-02-13,20260213133500000,6.8800,6.8900,6.8600,6.8600,1808600,12424332.0000
2026-02-13,20260213134000000,6.8600,6.8800,6.8500,6.8700,2367700,16255311.0000
2026-02-13,20260213134500000,6.8800,6.8800,6.8700,6.8700,539800,3711310.0000
2026-02-13,20260213135000000,6.8800,6.8800,6.8700,6.8800,1539100,10574998.0000
2026-02-13,20260213135500000,6.8700,6.8900,6.8600,6.8700,1632700,11216448.0000
2026-02-13,20260213140000000,6.8700,6.8700,6.8600,6.8600,1204500,8271043.0000
2026-02-13,20260213140500000,6.8700,6.8900,6.8600,6.8800,1781300,12251855.0000
2026-02-13,20260213141000000,6.8800,6.8900,6.8700,6.8900,921400,6339831.0000
2026-02-13,20260213141500000,6.8800,6.8800,6.8500,6.8700,2241101,15388474.0000
2026-02-13,20260213142000000,6.8700,6.8700,6.8500,6.8600,922699,6332145.0000
2026-02-13,20260213142500000,6.8600,6.8700,6.8600,6.8700,1118200,7672965.0000
2026-02-13,20260213143000000,6.8600,6.8700,6.8600,6.8600,923100,6337569.0000
2026-02-13,20260213143500000,6.8600,6.8800,6.8600,6.8700,1477479,10143439.0000
2026-02-13,20260213144000000,6.8800,6.8800,6.8400,6.8400,2714200,18611512.0000
2026-02-13,20260213144500000,6.8400,6.8500,6.8300,6.8400,2977186,20349130.0000
2026-02-13,20260213145000000,6.8400,6.8500,6.8200,6.8400,3162070,21606520.0000
2026-02-13,20260213145500000,6.8400,6.8600,6.8400,6.8500,2187000,14975872.0000
2026-02-13,20260213150000000,6.8400,6.8600,6.8400,6.8600,2746746,18821186.0000
