date,time,open,high,low,close,volume,amount
2025-11-18,20251118093500000,6.9000,6.9000,6.8600,6.8800,1256800,8644640.0000
2025-11-18,20251118094000000,6.8700,6.8900,6.8700,6.8800,685200,4713140.0000
2025-11-18,20251118094500000,6.8700,6.8800,6.8600,6.8600,762800,5237934.0000
2025-11-18,20251118095000000,6.8600,6.8700,6.8400,6.8500,1880200,12879884.0000
2025-11-18,20251118095500000,6.8500,6.8500,6.8300,6.8400,1260200,8618406.0000
2025-11-18,20251118100000000,6.8400,6.8500,6.8300,6.8500,534800,3658104.0000
2025-11-18,20251118100500000,6.8400,6.8500,6.8300,6.8400,967500,6617300.0000
2025-11-18,20251118101000000,6.8400,6.8500,6.8400,6.8400,464400,3177584.0000
2025-11-18,20251118101500000,6.8400,6.8500,6.8400,6.8500,263100,1800368.0000
2025-11-18,20251118102000000,6.8500,6.8600,6.8400,6.8400,438500,3002880.0000
2025-11-18,20251118102500000,6.8400,6.8500,6.8400,6.8500,473800,3242092.0000
2025-11-18,20251118103000000,6.8400,6.8400,6.8300,6.8300,739100,5055192.0000
2025-11-18,20251118103500000,6.8300,6.8600,6.8300,6.8600,377800,2587236.0000
2025-11-18,20251118104000000,6.8500,6.8600,6.8500,6.8500,150600,1031800.0000
2025-11-18,20251118104500000,6.8500,6.8600,6.8500,6.8500,93700,641976.0000
2025-11-18,20251118105000000,6.8500,6.8600,6.8500,6.8500,107400,735880.0000
2025-11-18,20251118105500000,6.8500,6.8600,6.8400,6.8400,594900,4074552.0000
2025-11-18,20251118110000000,6.8400,6.8400,6.8200,6.8200,1212100,8280088.0000
2025-11-18,20251118110500000,6.8200,6.8300,6.8200,6.8200,405700,2769760.0000
2025-11-18,20251118111000000,6.8300,6.8300,6.8100,6.8100,681400,4647000.0000
2025-11-18,20251118111500000,6.8200,6.8200,6.8100,6.8100,950900,6476712.0000
2025-11-18,20251118112000000,6.8100,6.8200,6.8100,6.8100,272500,1856264.0000
2025-11-18,20251118112500000,6.8100,6.8200,6.8100,6.8100,291200,1983576.0000
2025-11-18,20251118113000000,6.8100,6.8200,6.8000,6.8100,288600,1965072.0000
2025-11-18,20251118130500000,6.8200,6.8200,6.8000,6.8100,566100,3855840.0000
2025-11-18,20251118131000000,6.8100,6.8200,6.8100,6.8200,182400,1242792.0000
2025-11-18,20251118131500000,6.8100,6.8100,6.8000,6.8000,1000200,6803224.0000
2025-11-18,20251118132000000,6.8000,6.8100,6.7900,6.8000,953700,6482448.0000
2025-11-18,20251118132500000,6.8000,6.8100,6.7900,6.8000,358200,2435984.0000
2025-11-18,20251118133000000,6.7900,6.8000,6.7900,6.7900,82100,557848.0000
2025-11-18,20251118133500000,6.7900,6.8000,6.7800,6.7800,671100,4556592.0000
2025-11-18,20251118134000000,6.7900,6.8000,6.7800,6.8000,295900,2007888.0000
2025-11-18,20251118134500000,6.8000,6.8100,6.7900,6.8000,440300,2994472.0000
2025-11-18,20251118135000000,6.8100,6.8200,6.8000,6.8100,167800,1142752.0000
2025-11-18,20251118135500000,6.8100,6.8200,6.8000,6.8100,391000,2662672.0000
2025-11-18,20251118140000000,6.8100,6.8100,6.8000,6.8000,170900,1162352.0000
2025-11-18,20251118140500000,6.8000,6.8100,6.7900,6.8000,394700,2683520.0000
2025-11-18,20251118141000000,6.8000,6.8000,6.7900,6.7900,487000,3307360.0000
2025-11-18,20251118141500000,6.8000,6.8000,6.7900,6.7900,316900,2152272.0000
2025-11-18,20251118142000000,6.7900,6.8000,6.7800,6.7800,191200,1297952.0000
2025-11-18,20251118142500000,6.7900,6.7900,6.7800,6.7900,209700,1422000.0000
2025-11-18,20251118143000000,6.7900,6.7900,6.7700,6.7700,1129600,7658608.0000
2025-11-18,20251118143500000,6.7700,6.7900,6.7700,6.7800,590000,3999184.0000
2025-11-18,20251118144000000,6.7800,6.7900,6.7800,6.7900,319300,2166496.0000
2025-11-18,20251118144500000,6.7900,6.8100,6.7800,6.8000,780700,5303472.0000
2025-11-18,20251118145000000,6.8000,6.8400,6.8000,6.8200,1310100,8933168.0000
2025-11-18,20251118145500000,6.8300,6.8300,6.8200,6.8200,697000,4757744.0000
2025-11-18,20251118150000000,6.8200,6.8300,6.8200,6.8200,489200,3338560.0000
