date,time,open,high,low,close,volume,amount
2026-01-20,20260120093500000,5.5100,5.5800,5.5000,5.5200,5538600,30669840.0000
2026-01-20,20260120094000000,5.5200,5.5600,5.5200,5.5600,2989300,16554399.0000
2026-01-20,20260120094500000,5.5500,5.5500,5.5200,5.5300,2230800,12346589.0000
2026-01-20,20260120095000000,5.5300,5.5600,5.5200,5.5400,1842300,10205504.0000
2026-01-20,20260120095500000,5.5400,5.6100,5.5400,5.5900,5522700,30816667.0000
2026-01-20,20260120100000000,5.6000,5.6100,5.5600,5.5700,1914500,10679360.0000
2026-01-20,20260120100500000,5.5600,5.5700,5.5500,5.5600,1638700,9103750.0000
2026-01-20,20260120101000000,5.5500,5.5700,5.5400,5.5400,1977100,10979075.0000
2026-01-20,20260120101500000,5.5400,5.5600,5.5400,5.5500,1053100,5845393.0000
2026-01-20,20260120102000000,5.5500,5.5600,5.5400,5.5500,1028050,5703535.1400
2026-01-20,20260120102500000,5.5500,5.5700,5.5400,5.5700,1662286,9243670.1600
2026-01-20,20260120103000000,5.5600,5.5900,5.5500,5.5800,2652350,14786966.5000
2026-01-20,20260120103500000,5.5800,5.5900,5.5600,5.5600,1739400,9697533.0000
2026-01-20,20260120104000000,5.5700,5.6000,5.5600,5.5900,1476501,8234036.5900
2026-01-20,20260120104500000,5.5900,5.6500,5.5900,5.6400,5361950,30154900.0000
2026-01-20,20260120105000000,5.6300,5.6400,5.6000,5.6000,1638000,9206188.0000
2026-01-20,20260120105500000,5.6000,5.6500,5.6000,5.6300,1966800,11072666.0000
2026-01-20,20260120110000000,5.6200,5.6400,5.6100,5.6300,1398800,7865234.0000
2026-01-20,20260120110500000,5.6400,5.6400,5.6200,5.6200,1394400,7853211.0000
2026-01-20,20260120111000000,5.6200,5.6300,5.6000,5.6200,1019200,5722985.0000
2026-01-20,20260120111500000,5.6200,5.6200,5.6000,5.6100,587900,3298705.0000
2026-01-20,20260120112000000,5.6200,5.6500,5.6100,5.6400,1634500,9208424.0000
2026-01-20,20260120112500000,5.6300,5.6600,5.6300,5.6400,2617200,14790110.0000
2026-01-20,20260120113000000,5.6500,5.6600,5.6300,5.6500,1797800,10146993.0000
2026-01-20,20260120130500000,5.6600,5.7200,5.6500,5.6800,5428150,30833744.5000
2026-01-20,20260120131000000,5.6800,5.6800,5.6500,5.6800,1754300,9938057.0000
2026-01-20,20260120131500000,5.6800,5.6800,5.6500,5.6500,1195200,6773995.0000
2026-01-20,20260120132000000,5.6500,5.6500,5.6200,5.6400,1526100,8600566.0000
2026-01-20,20260120132500000,5.6400,5.6500,5.6200,5.6300,882900,4976659.0000
2026-01-20,20260120133000000,5.6300,5.6400,5.6300,5.6400,491500,2769382.0000
2026-01-20,20260120133500000,5.6300,5.6400,5.6100,5.6100,1034900,5815472.0000
2026-01-20,20260120134000000,5.6200,5.6300,5.6100,5.6100,1272300,7142816.0000
2026-01-20,20260120134500000,5.6200,5.6400,5.6200,5.6300,795900,4478000.0000
2026-01-20,20260120135000000,5.6200,5.6300,5.6100,5.6200,758600,4260724.0000
2026-01-20,20260120135500000,5.6200,5.6500,5.6200,5.6300,1850300,10422965.0000
2026-01-20,20260120140000000,5.6300,5.6600,5.6200,5.6400,1308400,7380258.0000
2026-01-20,20260120140500000,5.6300,5.6400,5.6200,5.6400,1821900,10261779.0000
2026-01-20,20260120141000000,5.6500,5.6500,5.6300,5.6400,1197500,6752354.0000
2026-01-20,20260120141500000,5.6400,5.6600,5.6300,5.6500,1445286,8162971.0400
2026-01-20,20260120142000000,5.6400,5.6400,5.6300,5.6300,1679200,9461303.2800
2026-01-20,20260120142500000,5.6300,5.6400,5.6300,5.6300,502300,2830321.0000
2026-01-20,20260120143000000,5.6300,5.6400,5.6200,5.6300,1609400,9063927.0000
2026-01-20,20260120143500000,5.6400,5.6500,5.6300,5.6300,1628200,9180779.1800
2026-01-20,20260120144000000,5.6300,5.6600,5.6300,5.6400,2007182,11325232.3000
2026-01-20,20260120144500000,5.6400,5.6500,5.6400,5.6400,1358000,7669498.0000
2026-01-20,20260120145000000,5.6400,5.6700,5.6400,5.6500,2710571,15317221.1500
2026-01-20,20260120145500000,5.6600,5.6600,5.6500,5.6600,4207800,23787951.0000
2026-01-20,20260120150000000,5.6600,5.6700,5.6500,5.6500,3823400,21624604.0000
