date,time,open,high,low,close,volume,amount
2026-01-30,20260130093500000,21.8500,22.3000,21.7000,21.7100,9123100,200664329.0000
2026-01-30,20260130094000000,21.7300,22.2700,21.7300,22.1600,6611786,146037221.0000
2026-01-30,20260130094500000,22.1600,22.1600,21.8000,22.0400,3006456,66172188.0000
2026-01-30,20260130095000000,22.0300,22.0500,21.8200,21.9200,2197500,48143973.0000
2026-01-30,20260130095500000,21.9400,21.9400,21.6100,21.7500,3024946,65759909.0000
2026-01-30,20260130100000000,21.7600,21.9300,21.3800,21.5400,5281074,113672475.0000
2026-01-30,20260130100500000,21.5400,21.5400,21.2900,21.4200,3517295,75225674.0000
2026-01-30,20260130101000000,21.4400,21.8000,21.4000,21.5700,1806300,38953905.0000
2026-01-30,20260130101500000,21.5700,21.7700,21.4000,21.4000,1445700,31187242.0000
2026-01-30,20260130102000000,21.4000,21.4400,21.2100,21.2100,2268400,48343470.0000
2026-01-30,20260130102500000,21.2000,21.3200,21.1200,21.2800,2588735,54984427.0000
2026-01-30,20260130103000000,21.2600,21.3700,21.1000,21.2200,2881600,61105398.0000
2026-01-30,20260130103500000,21.2400,21.3600,21.0600,21.0600,1951308,41402229.0000
2026-01-30,20260130104000000,21.0600,21.3500,21.0600,21.2800,1580443,33530660.0000
2026-01-30,20260130104500000,21.2700,21.3800,21.2400,21.2700,1117200,23798520.0000
2026-01-30,20260130105000000,21.2900,21.4300,21.1400,21.4200,1492509,31692523.0000
2026-01-30,20260130105500000,21.4200,21.4700,21.2800,21.3000,1332752,28451508.0000
2026-01-30,20260130110000000,21.3000,21.3200,21.0800,21.3000,1372697,29060699.0000
2026-01-30,20260130110500000,21.3300,21.6100,21.2300,21.3700,1231700,26419546.0000
2026-01-30,20260130111000000,21.3700,21.4700,21.3300,21.3700,1337600,28547909.0000
2026-01-30,20260130111500000,21.3700,21.4000,21.2000,21.2800,2622100,55724076.0000
2026-01-30,20260130112000000,21.2900,21.4000,21.2700,21.2800,1206400,25695538.0000
2026-01-30,20260130112500000,21.2800,21.3800,21.1900,21.3300,2027103,43041752.0000
2026-01-30,20260130113000000,21.3300,21.4500,21.2700,21.4100,536600,11469995.0000
2026-01-30,20260130130500000,21.4000,21.5100,21.3400,21.3700,741000,15863102.0000
2026-01-30,20260130131000000,21.3800,21.4200,21.3300,21.3600,634500,13558308.0000
2026-01-30,20260130131500000,21.3600,21.3800,21.3000,21.3800,627300,13382917.0000
2026-01-30,20260130132000000,21.3900,21.4200,21.3300,21.4000,484300,10347319.0000
2026-01-30,20260130132500000,21.4000,21.4900,21.3600,21.3600,755100,16188613.0000
2026-01-30,20260130133000000,21.3600,21.3700,21.3200,21.3600,425000,9072835.0000
2026-01-30,20260130133500000,21.3700,21.4300,21.2600,21.2700,725300,15475077.0000
2026-01-30,20260130134000000,21.2800,21.3200,21.2500,21.2900,439830,9359153.0000
2026-01-30,20260130134500000,21.2900,21.3600,21.2900,21.3500,404600,8621033.0000
2026-01-30,20260130135000000,21.3400,21.4000,21.3100,21.3900,491900,10506492.0000
2026-01-30,20260130135500000,21.3900,21.4500,21.3700,21.4500,597776,12800584.0000
2026-01-30,20260130140000000,21.4300,21.4400,21.3500,21.3500,444600,9512950.0000
2026-01-30,20260130140500000,21.3400,21.4100,21.3300,21.4100,499600,10665483.0000
2026-01-30,20260130141000000,21.4100,21.4500,21.3800,21.3900,470725,10083453.0000
2026-01-30,20260130141500000,21.4000,21.4500,21.3800,21.3800,459900,9842177.0000
2026-01-30,20260130142000000,21.3800,21.3900,21.3300,21.3300,912400,19472078.0000
2026-01-30,20260130142500000,21.3400,21.3500,21.3000,21.3100,624000,13307895.0000
2026-01-30,20260130143000000,21.3000,21.3100,21.2500,21.2600,469000,9979892.0000
2026-01-30,20260130143500000,21.2600,21.2700,21.2100,21.2100,663400,14092011.0000
2026-01-30,20260130144000000,21.2100,21.2800,21.2100,21.2600,875388,18593826.0000
2026-01-30,20260130144500000,21.2600,21.3100,21.2500,21.2700,711808,15150113.0000
2026-01-30,20260130145000000,21.2700,21.2900,21.2600,21.2600,875900,18634593.0000
2026-01-30,20260130145500000,21.2600,21.2700,21.2000,21.2500,1715244,36415455.0000
2026-01-30,20260130150000000,21.2400,21.2400,21.2100,21.2100,2036277,43207958.0000
