日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-15,600764,34.35,34.26,34.85,34.03,107578,369712806.0,2.37,-1.1,-0.38,1.51
2025-07-16,600764,34.0,33.37,34.19,33.35,90433,303779775.0,2.45,-2.6,-0.89,1.27
2025-07-17,600764,33.37,33.79,33.87,33.25,100033,336176493.0,1.86,1.26,0.42,1.41
2025-07-18,600764,33.79,34.36,34.68,33.6,130097,446312451.0,3.2,1.69,0.57,1.83
2025-07-21,600764,34.37,34.97,35.3,34.01,119985,418964084.0,3.75,1.78,0.61,1.69
2025-07-22,600764,34.85,34.98,35.52,34.55,105391,368715902.0,2.77,0.03,0.01,1.48
2025-07-23,600764,34.68,34.55,34.74,34.1,73659,253243795.0,1.83,-1.23,-0.43,1.04
2025-07-24,600764,34.3,34.82,35.01,34.28,71780,249457257.0,2.11,0.78,0.27,1.01
2025-07-25,600764,34.75,35.41,35.76,34.75,127837,452659407.0,2.9,1.69,0.59,1.8
2025-07-28,600764,35.48,35.63,35.85,34.94,110750,392086743.0,2.57,0.62,0.22,1.56
2025-07-29,600764,35.41,35.52,35.72,34.91,81994,289164353.0,2.27,-0.31,-0.11,1.15
2025-07-30,600764,35.52,35.71,36.02,35.01,116061,412715471.0,2.84,0.53,0.19,1.63
2025-07-31,600764,35.72,34.2,35.72,34.02,124297,432240688.0,4.76,-4.23,-1.51,1.75
2025-08-01,600764,34.17,34.42,34.92,33.2,82828,283901993.0,5.03,0.64,0.22,1.17
2025-08-04,600764,34.43,36.2,36.5,34.37,222532,797352387.0,6.19,5.17,1.78,3.13
2025-08-05,600764,36.44,35.99,36.7,35.64,129075,465139441.0,2.93,-0.58,-0.21,1.82
2025-08-06,600764,35.77,37.26,37.5,35.75,219166,807743817.0,4.86,3.53,1.27,3.08
2025-08-07,600764,37.19,36.3,37.2,36.15,131664,478810674.0,2.82,-2.58,-0.96,1.85
2025-08-08,600764,36.29,35.58,36.35,35.53,81973,293550671.0,2.26,-1.98,-0.72,1.15
2025-08-11,600764,35.69,35.84,36.35,35.27,112434,403917810.0,3.04,0.73,0.26,1.58
2025-08-12,600764,35.84,34.89,36.09,34.61,123113,431342686.0,4.13,-2.65,-0.95,1.73
2025-08-13,600764,34.95,34.87,35.3,34.57,96030,334423918.0,2.09,-0.06,-0.02,1.35
2025-08-14,600764,34.8,33.88,34.81,33.85,106191,363049771.0,2.75,-2.84,-0.99,1.49
2025-08-15,600764,33.68,33.92,34.21,33.65,81583,277228140.0,1.65,0.12,0.04,1.15
2025-08-18,600764,35.58,36.49,36.8,35.52,327505,1185908041.0,3.77,7.58,2.57,4.61
2025-08-19,600764,36.5,35.7,37.2,35.52,222080,803984152.0,4.6,-2.16,-0.79,3.13
2025-08-20,600764,35.72,34.98,35.77,34.4,160361,562255541.0,3.84,-2.02,-0.72,2.26
2025-08-21,600764,34.9,34.46,35.05,34.38,83618,289675027.0,1.92,-1.49,-0.52,1.18
2025-08-22,600764,34.46,37.12,37.3,34.22,329294,1196690877.0,8.94,7.72,2.66,4.63
2025-08-25,600764,37.0,36.77,37.0,36.08,180377,659371606.0,2.48,-0.94,-0.35,2.54
2025-08-26,600764,36.44,35.61,36.66,35.55,141406,509419878.0,3.02,-3.15,-1.16,1.99
2025-08-27,600764,35.75,34.57,35.95,34.5,132581,469276356.0,4.07,-2.92,-1.04,1.87
2025-08-28,600764,34.55,36.03,36.05,33.6,215054,751756230.0,7.09,4.22,1.46,3.03
2025-08-29,600764,35.79,35.78,35.95,34.86,149158,528565151.0,3.03,-0.69,-0.25,2.1
