股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国化学,601117,2025-07-15,7.63,7.53,7.65,7.5,428488,335812572.0,1.97,-1.31,-0.1,0.71
中国化学,601117,2025-07-16,7.53,7.51,7.57,7.48,250600,195814308.0,1.2,-0.27,-0.02,0.41
中国化学,601117,2025-07-17,7.53,7.52,7.58,7.48,327288,255598960.0,1.33,0.13,0.01,0.54
中国化学,601117,2025-07-18,7.52,7.56,7.61,7.5,400157,313860130.0,1.46,0.53,0.04,0.66
中国化学,601117,2025-07-21,7.65,7.74,7.76,7.63,659684,527972975.0,1.72,2.38,0.18,1.09
中国化学,601117,2025-07-22,7.73,7.88,7.89,7.63,903058,728233334.0,3.36,1.81,0.14,1.49
中国化学,601117,2025-07-23,7.89,7.79,7.95,7.77,757504,617832780.0,2.28,-1.14,-0.09,1.25
中国化学,601117,2025-07-24,7.78,7.85,7.9,7.71,613984,498528444.0,2.44,0.77,0.06,1.02
中国化学,601117,2025-07-25,7.86,7.71,7.88,7.69,537389,432637915.0,2.42,-1.78,-0.14,0.89
中国化学,601117,2025-07-28,7.7,7.76,7.78,7.63,463660,371392439.0,1.95,0.65,0.05,0.77
中国化学,601117,2025-07-29,7.75,7.98,8.11,7.74,940890,775764144.0,4.77,2.84,0.22,1.56
中国化学,601117,2025-07-30,7.95,7.91,8.0,7.87,447559,368671702.0,1.63,-0.88,-0.07,0.74
中国化学,601117,2025-07-31,7.89,7.7,7.91,7.68,578521,465592680.0,2.91,-2.65,-0.21,0.96
中国化学,601117,2025-08-01,7.7,7.72,7.82,7.66,370754,297839072.0,2.08,0.26,0.02,0.61
中国化学,601117,2025-08-04,7.7,7.64,7.73,7.59,444522,352652097.0,1.81,-1.04,-0.08,0.74
中国化学,601117,2025-08-05,7.66,7.71,7.79,7.64,458130,367281615.0,1.96,0.92,0.07,0.76
中国化学,601117,2025-08-06,7.71,7.73,7.74,7.68,333847,266980534.0,0.78,0.26,0.02,0.55
中国化学,601117,2025-08-07,7.73,7.75,7.78,7.66,392588,314820302.0,1.55,0.26,0.02,0.65
中国化学,601117,2025-08-08,7.75,8.01,8.02,7.73,797244,654140971.0,3.74,3.35,0.26,1.32
中国化学,601117,2025-08-11,8.01,7.89,8.04,7.88,481558,396125931.0,2.0,-1.5,-0.12,0.8
中国化学,601117,2025-08-12,7.88,8.04,8.09,7.88,562266,467515232.0,2.66,1.9,0.15,0.93
中国化学,601117,2025-08-13,8.04,7.95,8.05,7.94,427506,353208855.0,1.37,-1.12,-0.09,0.71
中国化学,601117,2025-08-14,7.95,7.84,8.02,7.83,478055,391454409.0,2.39,-1.38,-0.11,0.79
中国化学,601117,2025-08-15,7.84,7.83,7.89,7.81,531335,432410356.0,1.02,-0.13,-0.01,0.88
中国化学,601117,2025-08-18,7.87,7.75,7.9,7.75,984938,798362592.0,1.92,-1.02,-0.08,1.63
中国化学,601117,2025-08-19,7.77,7.71,7.81,7.7,740722,594659591.0,1.42,-0.52,-0.04,1.23
中国化学,601117,2025-08-20,7.71,7.76,7.76,7.65,623215,497832560.0,1.43,0.65,0.05,1.03
中国化学,601117,2025-08-21,7.76,7.78,7.84,7.76,620980,501843015.0,1.03,0.26,0.02,1.02
中国化学,601117,2025-08-22,7.84,7.82,7.84,7.73,608313,479340108.0,1.41,0.51,0.04,1.0
中国化学,601117,2025-08-25,7.84,8.03,8.04,7.83,970972,783382949.0,2.69,2.69,0.21,1.6
中国化学,601117,2025-08-26,7.98,8.19,8.22,7.96,887359,730266825.0,3.24,1.99,0.16,1.46
中国化学,601117,2025-08-27,8.19,7.9,8.19,7.88,1021623,830650013.0,3.79,-3.54,-0.29,1.68
中国化学,601117,2025-08-28,7.89,7.9,7.93,7.73,916031,728688978.0,2.53,0.0,0.0,1.51
中国化学,601117,2025-08-29,7.91,7.76,8.0,7.76,1191963,947888395.0,3.04,-1.77,-0.14,1.96
中国化学,601117,2025-09-01,7.78,7.65,7.83,7.62,1149372,897609781.0,2.71,-1.42,-0.11,1.89
中国化学,601117,2025-09-02,7.66,7.57,7.68,7.51,772148,593105138.0,2.22,-1.05,-0.08,1.27
中国化学,601117,2025-09-03,7.57,7.42,7.58,7.37,806602,608937332.0,2.77,-1.98,-0.15,1.33
中国化学,601117,2025-09-04,7.4,7.44,7.46,7.36,673878,506054868.0,1.35,0.27,0.02,1.11
中国化学,601117,2025-09-05,7.45,7.45,7.46,7.37,637918,479442903.0,1.21,0.13,0.01,1.05
中国化学,601117,2025-09-08,7.45,7.53,7.57,7.44,727953,553729567.0,1.74,1.07,0.08,1.2
中国化学,601117,2025-09-09,7.54,7.5,7.56,7.46,535469,407442886.0,1.33,-0.4,-0.03,0.88
中国化学,601117,2025-09-10,7.49,7.42,7.5,7.4,518819,390641252.0,1.33,-1.07,-0.08,0.85
中国化学,601117,2025-09-11,7.41,7.48,7.49,7.38,583872,439797476.0,1.48,0.81,0.06,0.96
中国化学,601117,2025-09-12,7.47,7.43,7.51,7.4,862064,650905417.0,1.47,-0.67,-0.05,1.42
中国化学,601117,2025-09-15,7.43,7.4,7.48,7.39,546435,410418941.0,1.21,-0.4,-0.03,0.9
中国化学,601117,2025-09-16,7.4,7.37,7.44,7.32,577244,431159048.0,1.62,-0.41,-0.03,0.95
中国化学,601117,2025-09-17,7.36,7.42,7.44,7.34,550754,413728698.0,1.36,0.68,0.05,0.91
中国化学,601117,2025-09-18,7.42,7.28,7.47,7.26,803137,600679949.0,2.83,-1.89,-0.14,1.32
中国化学,601117,2025-09-19,7.27,7.37,7.4,7.26,549350,409449867.0,1.92,1.24,0.09,0.91
中国化学,601117,2025-09-22,7.36,7.27,7.37,7.23,476348,351693832.0,1.9,-1.36,-0.1,0.78
中国化学,601117,2025-09-23,7.26,7.29,7.32,7.17,636170,466931806.0,2.06,0.28,0.02,1.05
中国化学,601117,2025-09-24,7.28,7.3,7.33,7.25,440825,325443122.0,1.1,0.14,0.01,0.73
中国化学,601117,2025-09-25,7.28,7.24,7.34,7.24,395838,291777843.0,1.37,-0.82,-0.06,0.65
中国化学,601117,2025-09-26,7.24,7.35,7.41,7.21,663359,493730518.0,2.76,1.52,0.11,1.09
中国化学,601117,2025-09-29,7.36,7.36,7.41,7.27,645482,478878855.0,1.9,0.14,0.01,1.06
中国化学,601117,2025-09-30,7.34,7.34,7.43,7.29,741134,551490569.0,1.9,-0.27,-0.02,1.22
中国化学,601117,2025-10-09,7.38,7.53,7.55,7.36,1256172,953843920.0,2.59,2.59,0.19,2.07
中国化学,601117,2025-10-10,7.53,7.61,7.67,7.49,1041414,802001320.0,2.39,1.06,0.08,1.72
中国化学,601117,2025-10-13,7.5,7.54,7.57,7.45,818968,623575625.0,1.58,-0.92,-0.07,1.35
中国化学,601117,2025-10-14,7.57,7.56,7.67,7.54,811969,625108734.0,1.72,0.27,0.02,1.34
中国化学,601117,2025-10-15,7.57,7.57,7.63,7.5,667821,511584614.0,1.72,0.13,0.01,1.1
中国化学,601117,2025-10-16,7.55,7.47,7.55,7.43,668472,506305908.0,1.59,-1.32,-0.1,1.1
中国化学,601117,2025-10-17,7.45,7.34,7.49,7.32,579318,434757537.0,2.28,-1.74,-0.13,0.95
中国化学,601117,2025-10-20,7.36,7.31,7.39,7.29,478445,355302330.0,1.36,-0.41,-0.03,0.79
中国化学,601117,2025-10-21,7.31,7.41,7.44,7.31,554038,415417996.0,1.78,1.37,0.1,0.91
中国化学,601117,2025-10-22,7.42,7.49,7.56,7.42,626765,475232884.0,1.89,1.08,0.08,1.03
中国化学,601117,2025-10-23,7.48,7.59,7.6,7.42,674341,514043810.0,2.4,1.34,0.1,1.11
中国化学,601117,2025-10-24,7.6,7.54,7.62,7.52,423498,324347599.0,1.32,-0.66,-0.05,0.7
中国化学,601117,2025-10-27,7.57,7.63,7.66,7.52,740034,570000294.0,1.86,1.19,0.09,1.22
中国化学,601117,2025-10-28,7.62,7.53,7.62,7.5,689621,526595248.0,1.57,-1.31,-0.1,1.14
中国化学,601117,2025-10-29,7.51,7.59,7.6,7.49,580102,443768784.0,1.46,0.8,0.06,0.96
中国化学,601117,2025-10-30,7.61,7.69,7.84,7.6,1252054,980396501.0,3.16,1.32,0.1,2.06
中国化学,601117,2025-10-31,7.69,7.63,7.73,7.6,713719,552823501.0,1.69,-0.78,-0.06,1.18
中国化学,601117,2025-11-03,7.66,7.78,7.83,7.64,879691,691453999.0,2.49,1.97,0.15,1.45
中国化学,601117,2025-11-04,7.78,7.73,7.88,7.7,700987,551882753.0,2.31,-0.64,-0.05,1.15
中国化学,601117,2025-11-05,7.72,7.78,7.82,7.66,606359,475605356.0,2.07,0.65,0.05,1.0
中国化学,601117,2025-11-06,7.76,7.84,7.88,7.75,612928,486326423.0,1.67,0.77,0.06,1.01
中国化学,601117,2025-11-07,7.84,8.0,8.03,7.82,1161969,935905245.0,2.68,2.04,0.16,1.91
中国化学,601117,2025-11-10,8.02,7.98,8.04,7.95,724480,585788901.0,1.13,-0.25,-0.02,1.19
中国化学,601117,2025-11-11,7.96,8.0,8.12,7.94,750217,609204801.0,2.26,0.25,0.02,1.23
中国化学,601117,2025-11-12,8.01,7.94,8.05,7.89,693181,558533369.0,2.0,-0.75,-0.06,1.14
中国化学,601117,2025-11-13,7.94,8.01,8.01,7.88,623008,502099675.0,1.64,0.88,0.07,1.02
中国化学,601117,2025-11-14,7.98,7.79,8.01,7.78,980777,780793425.0,2.87,-2.75,-0.22,1.61
中国化学,601117,2025-11-17,7.79,7.78,7.86,7.75,602002,475828079.0,1.41,-0.13,-0.01,0.99
中国化学,601117,2025-11-18,7.75,7.64,7.8,7.61,633729,492145479.0,2.44,-1.8,-0.14,1.04
中国化学,601117,2025-11-19,7.64,7.59,7.67,7.54,537003,413975581.0,1.7,-0.65,-0.05,0.88
中国化学,601117,2025-11-20,7.61,7.57,7.68,7.56,431679,333505746.0,1.58,-0.26,-0.02,0.71
中国化学,601117,2025-11-21,7.51,7.36,7.55,7.33,686821,517294165.0,2.91,-2.77,-0.21,1.13
中国化学,601117,2025-11-24,7.4,7.36,7.42,7.32,541153,403926274.0,1.36,0.0,0.0,0.89
中国化学,601117,2025-11-25,7.39,7.34,7.39,7.32,738959,550794419.0,0.95,-0.27,-0.02,1.21
中国化学,601117,2025-11-26,7.36,7.34,7.39,7.33,500075,372797641.0,0.82,0.0,0.0,0.82
中国化学,601117,2025-11-27,7.35,7.32,7.38,7.31,414222,308324494.0,0.95,-0.27,-0.02,0.68
中国化学,601117,2025-11-28,7.33,7.35,7.37,7.3,330051,245413620.0,0.96,0.41,0.03,0.54
