股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
隆基绿能,601012,2025-07-15,16.15,16.02,16.26,15.87,932186,1493745062.0,2.41,-0.87,-0.14,1.23
隆基绿能,601012,2025-07-16,16.02,15.91,16.07,15.75,842282,1336311192.0,2.0,-0.69,-0.11,1.11
隆基绿能,601012,2025-07-17,16.18,16.21,16.36,15.96,1208869,1953775775.0,2.51,1.89,0.3,1.6
隆基绿能,601012,2025-07-18,16.1,16.07,16.4,16.0,805956,1301639696.0,2.47,-0.86,-0.14,1.06
隆基绿能,601012,2025-07-21,16.1,16.31,16.36,16.04,806403,1309532199.0,1.99,1.49,0.24,1.06
隆基绿能,601012,2025-07-22,16.28,16.57,16.65,16.18,1220462,2007611624.0,2.88,1.59,0.26,1.61
隆基绿能,601012,2025-07-23,16.66,16.36,16.72,16.34,1041350,1720972204.0,2.29,-1.27,-0.21,1.37
隆基绿能,601012,2025-07-24,16.27,16.88,16.88,16.25,1243338,2069868451.0,3.85,3.18,0.52,1.64
隆基绿能,601012,2025-07-25,16.88,16.52,16.88,16.47,910427,1513165941.0,2.43,-2.13,-0.36,1.2
隆基绿能,601012,2025-07-28,16.4,16.41,16.59,16.25,755500,1239477502.0,2.06,-0.67,-0.11,1.0
隆基绿能,601012,2025-07-29,16.41,16.56,16.56,16.26,784202,1288865023.0,1.83,0.91,0.15,1.03
隆基绿能,601012,2025-07-30,16.57,16.38,16.72,16.31,853001,1409445113.0,2.48,-1.09,-0.18,1.13
隆基绿能,601012,2025-07-31,16.26,15.76,16.3,15.68,1284359,2045926013.0,3.79,-3.79,-0.62,1.69
隆基绿能,601012,2025-08-01,15.77,15.92,16.17,15.77,730065,1166848956.0,2.54,1.02,0.16,0.96
隆基绿能,601012,2025-08-04,15.78,15.78,15.87,15.59,660555,1036215323.0,1.76,-0.88,-0.14,0.87
隆基绿能,601012,2025-08-05,15.77,15.92,15.92,15.69,550174,869796099.0,1.46,0.89,0.14,0.73
隆基绿能,601012,2025-08-06,15.86,15.94,16.02,15.78,432354,687706352.0,1.51,0.13,0.02,0.57
隆基绿能,601012,2025-08-07,16.0,15.84,16.09,15.77,479716,762028498.0,2.01,-0.63,-0.1,0.63
隆基绿能,601012,2025-08-08,15.84,15.82,16.03,15.76,614651,976494489.0,1.7,-0.13,-0.02,0.81
隆基绿能,601012,2025-08-11,15.86,16.01,16.1,15.8,691001,1103728328.0,1.9,1.2,0.19,0.91
隆基绿能,601012,2025-08-12,16.0,15.84,16.01,15.75,689978,1091781724.0,1.62,-1.06,-0.17,0.91
隆基绿能,601012,2025-08-13,15.85,15.83,15.95,15.76,733355,1161049476.0,1.2,-0.06,-0.01,0.97
隆基绿能,601012,2025-08-14,15.83,15.56,15.86,15.52,874926,1374152542.0,2.15,-1.71,-0.27,1.15
隆基绿能,601012,2025-08-15,15.52,16.16,16.18,15.5,1556808,2488498436.0,4.37,3.86,0.6,2.05
隆基绿能,601012,2025-08-18,16.3,16.31,16.6,16.22,1575418,2587967729.0,2.35,0.93,0.15,2.08
隆基绿能,601012,2025-08-19,16.37,15.97,16.45,15.96,1252399,2023846783.0,3.0,-2.08,-0.34,1.65
隆基绿能,601012,2025-08-20,16.21,16.2,16.4,15.88,1391076,2244340968.0,3.26,1.44,0.23,1.84
