日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-15,600707,6.25,6.1,6.26,6.05,642615,393874360.0,3.35,-2.56,-0.16,1.79
2025-07-16,600707,6.09,6.11,6.14,6.05,244066,148893281.0,1.48,0.16,0.01,0.68
2025-07-17,600707,6.11,6.21,6.22,6.09,334503,206550676.0,2.13,1.64,0.1,0.93
2025-07-18,600707,6.22,6.11,6.23,6.08,466636,285647493.0,2.42,-1.61,-0.1,1.3
2025-07-21,600707,6.12,6.24,6.24,6.1,451831,279508002.0,2.29,2.13,0.13,1.26
2025-07-22,600707,6.24,6.26,6.26,6.16,372641,231578035.0,1.6,0.32,0.02,1.04
2025-07-23,600707,6.27,6.24,6.32,6.22,375310,235386921.0,1.6,-0.32,-0.02,1.05
2025-07-24,600707,6.28,6.33,6.33,6.26,372285,234246426.0,1.12,1.44,0.09,1.04
2025-07-25,600707,6.34,6.41,6.49,6.31,564137,361583871.0,2.84,1.26,0.08,1.57
2025-07-28,600707,6.45,6.35,6.45,6.34,306567,195497341.0,1.72,-0.94,-0.06,0.85
2025-07-29,600707,6.35,6.33,6.37,6.26,258721,162979205.0,1.73,-0.31,-0.02,0.72
2025-07-30,600707,6.34,6.28,6.35,6.23,266547,167676779.0,1.9,-0.79,-0.05,0.74
2025-07-31,600707,6.26,6.15,6.3,6.12,343703,212978160.0,2.87,-2.07,-0.13,0.96
2025-08-01,600707,6.15,6.17,6.26,6.13,211527,130670392.0,2.11,0.33,0.02,0.59
2025-08-04,600707,6.14,6.17,6.18,6.11,188299,115632149.0,1.13,0.0,0.0,0.52
2025-08-05,600707,6.18,6.23,6.25,6.18,227923,141759802.0,1.13,0.97,0.06,0.64
2025-08-06,600707,6.22,6.22,6.23,6.16,222698,137967146.0,1.12,-0.16,-0.01,0.62
2025-08-07,600707,6.21,6.21,6.25,6.18,181115,112410752.0,1.13,-0.16,-0.01,0.5
2025-08-08,600707,6.19,6.17,6.2,6.15,197295,121811802.0,0.81,-0.64,-0.04,0.55
2025-08-11,600707,6.17,6.25,6.26,6.17,275847,171768668.0,1.46,1.3,0.08,0.77
2025-08-12,600707,6.26,6.22,6.27,6.19,203873,126740754.0,1.28,-0.48,-0.03,0.57
2025-08-13,600707,6.22,6.24,6.24,6.19,250628,155784992.0,0.8,0.32,0.02,0.7
2025-08-14,600707,6.25,6.15,6.25,6.13,332299,205413771.0,1.92,-1.44,-0.09,0.93
2025-08-15,600707,6.13,6.21,6.23,6.12,249645,154660900.0,1.79,0.98,0.06,0.7
2025-08-18,600707,6.24,6.34,6.37,6.21,564735,356169744.0,2.58,2.09,0.13,1.57
2025-08-19,600707,6.37,6.37,6.48,6.32,394036,251900613.0,2.52,0.47,0.03,1.1
2025-08-20,600707,6.36,6.52,6.53,6.31,546290,352817918.0,3.45,2.35,0.15,1.52
2025-08-21,600707,6.52,6.52,6.57,6.46,417495,272091050.0,1.69,0.0,0.0,1.16
2025-08-22,600707,6.51,6.68,6.7,6.47,574550,379529488.0,3.53,2.45,0.16,1.6
2025-08-25,600707,6.73,6.6,6.76,6.53,609449,403710372.0,3.44,-1.2,-0.08,1.7
2025-08-26,600707,6.6,6.65,6.71,6.55,474247,315088628.0,2.42,0.76,0.05,1.32
2025-08-27,600707,6.64,6.46,6.7,6.45,563962,371571023.0,3.76,-2.86,-0.19,1.57
2025-08-28,600707,6.43,6.52,6.52,6.3,543030,349127335.0,3.41,0.93,0.06,1.51
2025-08-29,600707,6.52,6.45,6.53,6.41,338489,218586904.0,1.84,-1.07,-0.07,0.94
2025-09-01,600707,6.44,6.39,6.48,6.35,330523,211199796.0,2.02,-0.93,-0.06,0.92
2025-09-02,600707,6.39,6.21,6.4,6.18,449223,280735342.0,3.44,-2.82,-0.18,1.25
2025-09-03,600707,6.22,6.15,6.26,6.12,388829,240526069.0,2.25,-0.97,-0.06,1.08
2025-09-04,600707,6.16,6.13,6.24,6.06,427476,262873599.0,2.93,-0.33,-0.02,1.19
2025-09-05,600707,6.13,6.2,6.21,6.09,344405,212103345.0,1.96,1.14,0.07,0.96
2025-09-08,600707,6.21,6.23,6.23,6.15,332198,205759331.0,1.29,0.48,0.03,0.93
2025-09-09,600707,6.21,6.14,6.21,6.12,251134,154733492.0,1.44,-1.44,-0.09,0.7
2025-09-10,600707,6.15,6.14,6.17,6.11,175825,107889717.0,0.98,0.0,0.0,0.49
2025-09-11,600707,6.12,6.2,6.2,6.08,375620,230721811.0,1.95,0.98,0.06,1.05
2025-09-12,600707,6.19,6.17,6.22,6.15,291047,179899625.0,1.13,-0.48,-0.03,0.81
2025-09-15,600707,6.19,6.14,6.19,6.13,203497,125146179.0,0.97,-0.49,-0.03,0.57
2025-09-16,600707,6.15,6.19,6.2,6.12,248207,153065521.0,1.3,0.81,0.05,0.69
2025-09-17,600707,6.17,6.23,6.24,6.15,289088,179733710.0,1.45,0.65,0.04,0.81
2025-09-18,600707,6.22,6.22,6.35,6.18,483460,302186954.0,2.73,-0.16,-0.01,1.35
2025-09-19,600707,6.21,6.21,6.25,6.16,245264,152311222.0,1.45,-0.16,-0.01,0.68
2025-09-22,600707,6.23,6.13,6.23,6.11,245567,151039203.0,1.93,-1.29,-0.08,0.68
2025-09-23,600707,6.11,6.03,6.14,5.91,377543,226658712.0,3.75,-1.63,-0.1,1.05
2025-09-24,600707,6.01,6.13,6.13,5.99,276337,168394298.0,2.32,1.66,0.1,0.77
2025-09-25,600707,6.11,6.05,6.13,6.03,211681,128495002.0,1.63,-1.31,-0.08,0.59
2025-09-26,600707,6.03,5.96,6.04,5.96,198073,118744881.0,1.32,-1.49,-0.09,0.55
2025-09-29,600707,5.96,5.93,5.97,5.84,221771,130989988.0,2.18,-0.5,-0.03,0.62
2025-09-30,600707,5.93,5.89,5.95,5.89,169573,100209905.0,1.01,-0.67,-0.04,0.47
2025-10-09,600707,5.9,6.0,6.08,5.89,298707,179241573.0,3.23,1.87,0.11,0.83
2025-10-10,600707,5.98,5.98,6.0,5.94,181752,108441977.0,1.0,-0.33,-0.02,0.51
2025-10-13,600707,5.83,5.92,5.94,5.8,238401,139800174.0,2.34,-1.0,-0.06,0.66
2025-10-14,600707,5.95,5.91,5.97,5.9,248196,147374429.0,1.18,-0.17,-0.01,0.69
2025-10-15,600707,5.89,5.91,5.93,5.87,160304,94590900.0,1.02,0.0,0.0,0.45
2025-10-16,600707,5.89,5.84,5.9,5.83,182383,106893204.0,1.18,-1.18,-0.07,0.51
2025-10-17,600707,5.83,5.77,5.87,5.76,180491,104876842.0,1.88,-1.2,-0.07,0.5
2025-10-20,600707,5.8,5.8,5.82,5.78,123297,71494235.0,0.69,0.52,0.03,0.34
2025-10-21,600707,5.81,5.87,5.88,5.78,167462,97980911.0,1.72,1.21,0.07,0.47
2025-10-22,600707,5.86,5.86,5.89,5.84,136467,79991952.0,0.85,-0.17,-0.01,0.38
2025-10-23,600707,5.85,5.88,5.88,5.81,150169,87675040.0,1.19,0.34,0.02,0.42
2025-10-24,600707,5.87,5.88,5.9,5.86,130536,76801048.0,0.68,0.0,0.0,0.36
2025-10-27,600707,5.9,5.89,5.91,5.87,152387,89746842.0,0.68,0.17,0.01,0.42
2025-10-28,600707,5.88,5.86,5.89,5.85,109603,64327838.0,0.68,-0.51,-0.03,0.31
2025-10-29,600707,5.86,5.88,5.88,5.82,116740,68324569.0,1.02,0.34,0.02,0.33
2025-10-30,600707,5.85,5.86,5.92,5.85,173187,101958655.0,1.19,-0.34,-0.02,0.48
2025-10-31,600707,5.84,5.86,5.87,5.82,169941,99374923.0,0.85,0.0,0.0,0.47
2025-11-03,600707,5.85,5.91,5.91,5.82,192731,112903565.0,1.54,0.85,0.05,0.54
2025-11-04,600707,5.9,5.83,5.9,5.82,160182,93758550.0,1.35,-1.35,-0.08,0.45
2025-11-05,600707,5.82,5.88,5.89,5.81,174188,102168547.0,1.37,0.86,0.05,0.49
2025-11-06,600707,5.87,5.89,5.9,5.85,137723,80975325.0,0.85,0.17,0.01,0.38
2025-11-07,600707,5.89,5.95,6.03,5.86,351078,209394715.0,2.89,1.02,0.06,0.98
