股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
海油工程,600583,2025-07-15,5.57,5.48,5.58,5.47,328477,180806088.0,1.97,-1.62,-0.09,0.74
海油工程,600583,2025-07-16,5.48,5.46,5.49,5.44,232587,127030044.0,0.91,-0.36,-0.02,0.53
海油工程,600583,2025-07-17,5.45,5.46,5.48,5.43,218439,119065020.0,0.92,0.0,0.0,0.49
海油工程,600583,2025-07-18,5.47,5.51,5.53,5.46,253041,139294428.0,1.28,0.92,0.05,0.57
海油工程,600583,2025-07-21,5.51,5.61,5.64,5.5,517593,289270114.0,2.54,1.81,0.1,1.17
海油工程,600583,2025-07-22,5.61,5.7,5.7,5.57,517728,292396645.0,2.32,1.6,0.09,1.17
海油工程,600583,2025-07-23,5.73,5.65,5.75,5.64,387256,220067351.0,1.93,-0.88,-0.05,0.88
海油工程,600583,2025-07-24,5.65,5.68,5.68,5.6,395238,223333501.0,1.42,0.53,0.03,0.89
海油工程,600583,2025-07-25,5.68,5.66,5.7,5.64,312983,177451921.0,1.06,-0.35,-0.02,0.71
海油工程,600583,2025-07-28,5.66,5.61,5.66,5.57,310714,174347787.0,1.59,-0.88,-0.05,0.7
海油工程,600583,2025-07-29,5.63,5.63,5.65,5.58,232759,130561440.0,1.25,0.36,0.02,0.53
海油工程,600583,2025-07-30,5.64,5.64,5.7,5.61,322675,182547047.0,1.6,0.18,0.01,0.73
海油工程,600583,2025-07-31,5.65,5.51,5.66,5.48,505613,279197331.0,3.19,-2.3,-0.13,1.14
海油工程,600583,2025-08-01,5.5,5.49,5.53,5.48,235139,129420566.0,0.91,-0.36,-0.02,0.53
海油工程,600583,2025-08-04,5.46,5.49,5.51,5.43,232208,127140586.0,1.46,0.0,0.0,0.53
海油工程,600583,2025-08-05,5.5,5.57,5.58,5.49,298294,165611565.0,1.64,1.46,0.08,0.67
海油工程,600583,2025-08-06,5.57,5.6,5.61,5.54,286917,160108310.0,1.26,0.54,0.03,0.65
海油工程,600583,2025-08-07,5.6,5.62,5.64,5.57,254187,142524844.0,1.25,0.36,0.02,0.57
海油工程,600583,2025-08-08,5.63,5.67,5.73,5.61,558630,317551702.0,2.14,0.89,0.05,1.26
海油工程,600583,2025-08-11,5.66,5.57,5.67,5.55,619670,346260861.0,2.12,-1.76,-0.1,1.4
海油工程,600583,2025-08-12,5.57,5.72,5.75,5.56,624617,354652913.0,3.41,2.69,0.15,1.41
海油工程,600583,2025-08-13,5.7,5.73,5.78,5.7,405162,232329749.0,1.4,0.17,0.01,0.92
海油工程,600583,2025-08-14,5.72,5.7,5.78,5.67,312222,178606046.0,1.92,-0.52,-0.03,0.71
海油工程,600583,2025-08-15,5.7,5.76,5.77,5.67,368682,211261002.0,1.75,1.05,0.06,0.83
海油工程,600583,2025-08-18,5.71,5.62,5.71,5.59,1032570,580579793.0,2.08,-2.43,-0.14,2.34
海油工程,600583,2025-08-19,5.61,5.57,5.66,5.53,662929,371359193.0,2.31,-0.89,-0.05,1.5
海油工程,600583,2025-08-20,5.57,5.59,5.59,5.55,474690,264577100.0,0.72,0.36,0.02,1.07
海油工程,600583,2025-08-21,5.6,5.65,5.68,5.58,746070,420735518.0,1.79,1.07,0.06,1.69
海油工程,600583,2025-08-22,5.66,5.65,5.66,5.56,648258,362734093.0,1.77,0.0,0.0,1.47
海油工程,600583,2025-08-25,5.65,5.69,5.7,5.62,1029912,583419553.0,1.42,0.71,0.04,2.33
海油工程,600583,2025-08-26,5.68,5.68,5.72,5.64,546419,310473689.0,1.41,-0.18,-0.01,1.24
海油工程,600583,2025-08-27,5.67,5.56,5.68,5.56,785513,441940084.0,2.11,-2.11,-0.12,1.78
海油工程,600583,2025-08-28,5.57,5.56,5.66,5.47,830423,462392810.0,3.42,0.0,0.0,1.88
海油工程,600583,2025-08-29,5.56,5.53,5.7,5.51,1147101,642393173.0,3.42,-0.54,-0.03,2.59
海油工程,600583,2025-09-01,5.7,5.51,5.75,5.5,2137412,1197304057.0,4.52,-0.36,-0.02,4.83
海油工程,600583,2025-09-02,5.52,5.49,5.53,5.38,1006682,548785602.0,2.72,-0.36,-0.02,2.28
海油工程,600583,2025-09-03,5.5,5.39,5.5,5.37,592038,321797536.0,2.37,-1.82,-0.1,1.34
海油工程,600583,2025-09-04,5.39,5.36,5.4,5.3,567631,303479540.0,1.86,-0.56,-0.03,1.28
海油工程,600583,2025-09-05,5.35,5.42,5.45,5.35,464653,251175702.0,1.87,1.12,0.06,1.05
海油工程,600583,2025-09-08,5.42,5.4,5.45,5.39,563515,304749891.0,1.11,-0.37,-0.02,1.27
海油工程,600583,2025-09-09,5.4,5.35,5.41,5.34,379612,203923785.0,1.3,-0.93,-0.05,0.86
海油工程,600583,2025-09-10,5.36,5.35,5.39,5.34,459746,246375804.0,0.93,0.0,0.0,1.04
海油工程,600583,2025-09-11,5.36,5.39,5.39,5.32,425433,227772946.0,1.31,0.75,0.04,0.96
海油工程,600583,2025-09-12,5.38,5.35,5.42,5.31,810357,434534931.0,2.04,-0.74,-0.04,1.83
海油工程,600583,2025-09-15,5.34,5.33,5.38,5.33,348426,186146238.0,0.93,-0.37,-0.02,0.79
海油工程,600583,2025-09-16,5.34,5.31,5.35,5.27,372655,197609197.0,1.5,-0.38,-0.02,0.84
海油工程,600583,2025-09-17,5.32,5.35,5.37,5.3,396836,211866964.0,1.32,0.75,0.04,0.9
海油工程,600583,2025-09-18,5.35,5.27,5.37,5.24,511671,270880644.0,2.43,-1.5,-0.08,1.16
海油工程,600583,2025-09-19,5.28,5.29,5.29,5.24,238746,125766516.0,0.95,0.38,0.02,0.54
海油工程,600583,2025-09-22,5.29,5.28,5.32,5.23,349433,184392784.0,1.7,-0.19,-0.01,0.79
海油工程,600583,2025-09-23,5.27,5.24,5.28,5.18,398375,207992244.0,1.89,-0.76,-0.04,0.9
海油工程,600583,2025-09-24,5.23,5.33,5.35,5.23,547389,290786585.0,2.29,1.72,0.09,1.24
