日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-15,600602,21.4,22.74,23.0,21.32,1020282,2268491712.0,7.75,4.89,1.06,9.5
2025-07-16,600602,22.6,22.27,23.17,22.1,780504,1757915138.0,4.71,-2.07,-0.47,7.27
2025-07-17,600602,22.07,22.32,22.6,21.78,533520,1184388979.0,3.68,0.22,0.05,4.97
2025-07-18,600602,22.45,23.14,23.46,22.3,860949,1982303185.0,5.2,3.67,0.82,8.01
2025-07-21,600602,22.63,22.28,22.95,22.16,650071,1456241765.0,3.41,-3.72,-0.86,6.05
2025-07-22,600602,22.01,21.88,22.46,21.8,470871,1037600584.0,2.96,-1.8,-0.4,4.38
2025-07-23,600602,21.6,22.65,22.92,21.5,610467,1359514029.0,6.49,3.52,0.77,5.68
2025-07-24,600602,22.4,23.0,23.32,22.4,664457,1529015250.0,4.06,1.55,0.35,6.19
2025-07-25,600602,23.57,23.47,24.06,23.18,817887,1924250398.0,3.83,2.04,0.47,7.61
2025-07-28,600602,23.47,23.13,23.6,22.8,635483,1463883147.0,3.41,-1.45,-0.34,5.92
2025-07-29,600602,22.8,22.56,22.96,22.25,479583,1078639611.0,3.07,-2.46,-0.57,4.46
2025-07-30,600602,22.37,22.09,22.65,22.01,333455,742231263.0,2.84,-2.08,-0.47,3.1
2025-07-31,600602,22.1,22.19,22.65,22.1,359285,803832409.0,2.49,0.45,0.1,3.34
2025-08-01,600602,22.37,22.85,22.92,21.96,533394,1202161887.0,4.33,2.97,0.66,4.97
2025-08-04,600602,22.46,22.5,22.66,22.33,318867,715986572.0,1.44,-1.53,-0.35,2.97
2025-08-05,600602,22.52,22.42,22.59,22.23,232061,519031634.0,1.6,-0.36,-0.08,2.16
2025-08-06,600602,22.41,22.55,22.77,22.2,298596,671790088.0,2.54,0.58,0.13,2.78
2025-08-07,600602,22.46,22.23,22.67,22.21,268464,599841141.0,2.04,-1.42,-0.32,2.5
2025-08-08,600602,22.23,21.55,22.28,21.55,324505,705974477.0,3.28,-3.06,-0.68,3.02
2025-08-11,600602,21.57,21.8,21.94,21.57,228512,498222765.0,1.72,1.16,0.25,2.13
2025-08-12,600602,21.73,21.96,22.08,21.66,227082,497203622.0,1.93,0.73,0.16,2.11
2025-08-13,600602,21.91,22.49,22.78,21.78,470217,1057296591.0,4.55,2.41,0.53,4.38
2025-08-14,600602,22.58,22.09,22.62,22.07,327195,730817355.0,2.45,-1.78,-0.4,3.05
