日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-15,601512,7.48,8.25,8.25,7.41,250681,200718872.0,11.2,10.0,0.75,1.67
2025-07-16,601512,8.99,9.08,9.08,8.88,208293,188366497.0,2.42,10.06,0.83,1.39
2025-07-17,601512,9.08,8.5,9.08,8.33,549731,477132315.0,8.26,-6.39,-0.58,3.67
2025-07-18,601512,8.22,8.08,8.3,7.96,366282,296162859.0,4.0,-4.94,-0.42,2.44
2025-07-21,601512,7.96,8.01,8.09,7.93,181955,145898814.0,1.98,-0.87,-0.07,1.21
2025-07-22,601512,8.02,7.92,8.04,7.89,149251,118418486.0,1.87,-1.12,-0.09,1.0
2025-07-23,601512,7.91,7.86,7.94,7.84,103965,82130160.0,1.26,-0.76,-0.06,0.69
2025-07-24,601512,7.84,7.91,7.91,7.83,73967,58255637.0,1.02,0.64,0.05,0.49
2025-07-25,601512,7.91,7.86,7.91,7.82,74919,58997084.0,1.14,-0.63,-0.05,0.5
2025-07-28,601512,7.87,7.86,7.88,7.83,41689,32741133.0,0.64,0.0,0.0,0.28
2025-07-29,601512,7.85,7.9,7.91,7.78,58562,45944788.0,1.65,0.51,0.04,0.39
2025-07-30,601512,7.87,7.81,7.94,7.8,63548,50012355.0,1.77,-1.14,-0.09,0.42
2025-07-31,601512,7.8,7.71,7.81,7.69,61267,47429417.0,1.54,-1.28,-0.1,0.41
2025-08-01,601512,7.71,7.74,7.76,7.7,22834,17643372.0,0.78,0.39,0.03,0.15
2025-08-04,601512,7.71,7.79,7.81,7.71,32116,24917260.0,1.29,0.65,0.05,0.21
2025-08-05,601512,7.81,8.0,8.28,7.76,148278,118758671.0,6.68,2.7,0.21,0.99
2025-08-06,601512,7.9,7.9,7.91,7.79,99123,77852316.0,1.5,-1.25,-0.1,0.66
2025-08-07,601512,7.86,7.86,7.89,7.8,45164,35423471.0,1.14,-0.51,-0.04,0.3
2025-08-08,601512,7.87,7.87,7.91,7.83,39039,30704461.0,1.02,0.13,0.01,0.26
2025-08-11,601512,7.92,7.91,7.94,7.85,51463,40590739.0,1.14,0.51,0.04,0.34
2025-08-12,601512,7.91,7.91,7.94,7.89,36590,28936468.0,0.63,0.0,0.0,0.24
2025-08-13,601512,7.93,7.9,7.94,7.89,39815,31499375.0,0.63,-0.13,-0.01,0.27
2025-08-14,601512,7.93,7.8,7.94,7.8,46370,36549105.0,1.77,-1.27,-0.1,0.31
2025-08-15,601512,7.8,7.9,7.93,7.79,44142,34762378.0,1.79,1.28,0.1,0.29
2025-08-18,601512,7.91,7.93,7.96,7.89,51453,40806742.0,0.89,0.38,0.03,0.34
2025-08-19,601512,7.94,7.95,7.99,7.92,49189,39137385.0,0.88,0.25,0.02,0.33
2025-08-20,601512,7.92,8.0,8.04,7.91,55685,44433034.0,1.64,0.63,0.05,0.37
2025-08-21,601512,8.02,7.98,8.03,7.96,43279,34549512.0,0.88,-0.25,-0.02,0.29
2025-08-22,601512,7.99,8.09,8.24,7.96,109306,88070809.0,3.51,1.38,0.11,0.73
2025-08-25,601512,8.09,8.1,8.18,8.01,112164,90942587.0,2.1,0.12,0.01,0.75
2025-08-26,601512,8.04,8.1,8.12,8.02,60889,49220992.0,1.23,0.0,0.0,0.41
2025-08-27,601512,8.66,8.91,8.91,8.51,219805,194119239.0,4.94,10.0,0.81,1.47
2025-08-28,601512,8.91,8.58,8.91,8.35,337227,289089778.0,6.29,-3.7,-0.33,2.25
2025-08-29,601512,8.57,8.46,8.63,8.41,144965,122927197.0,2.56,-1.4,-0.12,0.97
2025-09-01,601512,8.44,8.54,8.61,8.37,123124,104890069.0,2.84,0.95,0.08,0.82
2025-09-02,601512,8.47,8.57,8.62,8.41,113013,96302480.0,2.46,0.35,0.03,0.75
2025-09-03,601512,8.56,8.39,8.59,8.36,82310,69661212.0,2.68,-2.1,-0.18,0.55
2025-09-04,601512,8.4,8.44,8.51,8.37,78235,66090183.0,1.67,0.6,0.05,0.52
2025-09-05,601512,8.45,8.48,8.52,8.39,64699,54595607.0,1.54,0.47,0.04,0.43
2025-09-08,601512,8.44,8.62,8.62,8.44,84573,72255881.0,2.12,1.65,0.14,0.56
2025-09-09,601512,8.6,8.65,8.69,8.52,79711,68680995.0,1.97,0.35,0.03,0.53
2025-09-10,601512,8.69,8.72,8.74,8.63,77892,67665745.0,1.27,0.81,0.07,0.52
2025-09-11,601512,8.71,8.82,8.82,8.62,75720,66254943.0,2.29,1.15,0.1,0.51
2025-09-12,601512,8.82,9.0,9.32,8.8,168604,152527545.0,5.9,2.04,0.18,1.12
2025-09-15,601512,9.05,9.12,9.14,8.71,151614,134747522.0,4.78,1.33,0.12,1.01
2025-09-16,601512,9.12,9.39,9.48,9.03,180929,167967363.0,4.93,2.96,0.27,1.21
2025-09-17,601512,9.41,9.52,9.7,9.15,185717,174106349.0,5.86,1.38,0.13,1.24
2025-09-18,601512,10.47,10.33,10.47,9.92,378051,393130704.0,5.78,8.51,0.81,2.52
2025-09-19,601512,9.95,9.3,10.12,9.3,338047,324085693.0,7.94,-9.97,-1.03,2.26
2025-09-22,601512,9.0,9.21,9.32,8.81,192603,176086466.0,5.48,-0.97,-0.09,1.28
2025-09-23,601512,9.12,9.18,9.35,8.87,171986,156700312.0,5.21,-0.33,-0.03,1.15
2025-09-24,601512,9.13,9.36,9.49,9.06,128509,119704812.0,4.68,1.96,0.18,0.86
2025-09-25,601512,9.46,9.52,9.64,9.28,133749,126826668.0,3.85,1.71,0.16,0.89
2025-09-26,601512,9.46,9.42,9.66,9.39,92571,87871652.0,2.84,-1.05,-0.1,0.62
2025-09-29,601512,9.42,9.52,9.56,9.31,81052,76634662.0,2.65,1.06,0.1,0.54
2025-09-30,601512,9.56,9.37,9.57,9.35,70224,66138831.0,2.31,-1.58,-0.15,0.47
2025-10-09,601512,9.3,9.9,9.91,9.29,145159,140154121.0,6.62,5.66,0.53,0.97
2025-10-10,601512,9.85,10.05,10.18,9.72,135045,135019053.0,4.65,1.52,0.15,0.9
2025-10-13,601512,9.71,9.93,10.0,9.61,88473,87251501.0,3.88,-1.19,-0.12,0.59
2025-10-14,601512,9.93,9.7,10.04,9.68,90836,89312228.0,3.63,-2.32,-0.23,0.61
2025-10-15,601512,9.69,9.74,9.79,9.61,63497,61636772.0,1.86,0.41,0.04,0.42
2025-10-16,601512,9.82,9.67,9.9,9.61,52102,50502396.0,2.98,-0.72,-0.07,0.35
2025-10-17,601512,9.68,9.36,9.72,9.31,74213,70278190.0,4.24,-3.21,-0.31,0.5
2025-10-20,601512,9.4,9.42,9.53,9.29,64665,60682684.0,2.56,0.64,0.06,0.43
2025-10-21,601512,9.4,9.56,9.64,9.38,50677,48335786.0,2.76,1.49,0.14,0.34
2025-10-22,601512,9.55,9.52,9.6,9.46,46092,43998936.0,1.46,-0.42,-0.04,0.31
2025-10-23,601512,9.69,9.66,9.69,9.41,51676,49276755.0,2.94,1.47,0.14,0.34
2025-10-24,601512,9.74,9.54,9.76,9.51,52789,50602098.0,2.59,-1.24,-0.12,0.35
2025-10-27,601512,9.52,9.51,9.61,9.47,44029,41978361.0,1.47,-0.31,-0.03,0.29
