日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-15,601068,5.08,4.89,5.08,4.85,407457,200811771.0,4.6,-2.2,-0.11,1.59
2025-07-16,601068,4.86,4.87,4.92,4.82,246768,120063548.0,2.04,-0.41,-0.02,0.96
2025-07-17,601068,4.87,4.81,4.88,4.8,213515,103061510.0,1.64,-1.23,-0.06,0.83
2025-07-18,601068,4.84,4.88,4.97,4.82,474204,232347401.0,3.12,1.46,0.07,1.85
2025-07-21,601068,4.91,5.01,5.03,4.91,462575,230370191.0,2.46,2.66,0.13,1.81
2025-07-22,601068,5.03,5.11,5.2,4.95,544988,275724516.0,4.99,2.0,0.1,2.13
2025-07-23,601068,5.12,4.99,5.17,4.98,413683,209618441.0,3.72,-2.35,-0.12,1.62
2025-07-24,601068,4.92,5.11,5.13,4.92,331514,167321399.0,4.21,2.4,0.12,1.3
2025-07-25,601068,5.1,4.96,5.11,4.94,305459,152478190.0,3.33,-2.94,-0.15,1.19
2025-07-28,601068,4.98,4.91,5.0,4.88,199809,98286937.0,2.42,-1.01,-0.05,0.78
2025-07-29,601068,4.91,4.94,4.96,4.86,192124,94325987.0,2.04,0.61,0.03,0.75
2025-07-30,601068,4.94,4.9,4.97,4.87,175454,86382933.0,2.02,-0.81,-0.04,0.69
2025-07-31,601068,4.91,4.81,4.93,4.8,181000,87769712.0,2.65,-1.84,-0.09,0.71
2025-08-01,601068,4.81,4.83,4.86,4.8,116109,56100548.0,1.25,0.42,0.02,0.45
2025-08-04,601068,4.8,4.81,4.81,4.75,122842,58626249.0,1.24,-0.41,-0.02,0.48
2025-08-05,601068,4.84,4.84,4.85,4.81,110404,53355024.0,0.83,0.62,0.03,0.43
2025-08-06,601068,4.85,4.91,4.93,4.83,178628,87366267.0,2.07,1.45,0.07,0.7
2025-08-07,601068,4.93,4.94,4.98,4.89,168624,83125949.0,1.83,0.61,0.03,0.66
